date,open,high,low,close,volume
2025-03-29,14.25,14.4,13.37,13.55,26489298.36
2025-03-30,13.55,13.86,13.2,13.41,24638527.62
2025-03-31,13.41,13.71,12.96,13.5,37526090.25
2025-04-01,13.5,14.39,13.49,14.04,37717566.07
2025-04-02,14.04,14.39,12.81,12.9,53695092.24
2025-04-03,12.9,13.3,12.3,12.89,44981828.33
2025-04-04,12.89,13.19,12.35,12.94,47897702.15
2025-04-05,12.94,13.05,12.57,12.84,13553790.53
2025-04-06,12.84,12.94,11,11.28,39373571.11
2025-04-07,11.28,11.86,10.11,11.45,83209133.7
2025-04-08,11.45,11.89,10.77,10.91,44275826.02
2025-04-09,10.91,12.82,10.44,12.65,73877423.61
2025-04-10,12.65,12.66,11.67,12.07,38889649.93
2025-04-11,12.07,12.9,12.02,12.64,32253756.16
2025-04-12,12.64,13.29,12.47,13.15,20830796.63
2025-04-13,13.15,13.23,12.42,12.62,20045466.52
2025-04-14,12.62,13.24,12.58,12.63,23882274.41
2025-04-15,12.63,12.83,12.2,12.23,23831633.89
2025-04-16,12.23,12.52,11.92,12.36,22926581.95
2025-04-17,12.36,12.7,12.21,12.53,17519307
2025-04-18,12.53,12.72,12.41,12.56,9182029.83
2025-04-19,12.56,13.05,12.54,12.93,9417370.18
2025-04-20,12.93,13.59,12.88,13.28,15220583.37
2025-04-21,13.28,13.69,12.97,13.1,20769460.56
2025-04-22,13.1,14.17,12.89,14.14,35873852.85
2025-04-23,14.14,15.28,14.03,15.02,48770663.44
2025-04-24,15.02,15.15,14.16,15.06,36036223.76
2025-04-25,15.06,15.36,14.72,14.93,36819766.73
2025-04-26,14.93,15.28,14.68,14.87,20656103.59
2025-04-27,14.87,15.09,14.38,14.56,20915282.52
2025-04-28,14.56,15.11,14.26,15.02,29803514.54
2025-04-29,15.02,15.24,14.49,14.61,20601812.87
2025-04-30,14.61,14.76,13.84,14.3,21540403.43
2025-05-01,14.3,15.04,14.3,14.75,20897302.02
2025-05-02,14.75,15.03,14.5,14.66,18645913.35
2025-05-03,14.66,14.67,14.17,14.25,10686641.58
2025-05-04,14.25,14.36,13.82,13.86,10012182.29
2025-05-05,13.86,14.2,13.48,13.64,22286727.15
2025-05-06,13.64,13.89,13.21,13.82,20978204.89
2025-05-07,13.82,14.09,13.47,13.82,20639115.87
2025-05-08,13.82,15.98,13.82,15.88,48991646.47
2025-05-09,15.88,16.76,15.59,16.02,52581604.17
2025-05-10,16.02,17.46,15.87,17.33,35562854.37
2025-05-11,17.33,17.4,16.31,17.1,51838260.88
2025-05-12,17.1,17.97,16.04,16.74,60808836.04
2025-05-13,16.74,17.8,16.04,17.39,43258739.87
2025-05-14,17.39,17.53,16.68,17.02,38670633.38
2025-05-15,17.02,17.21,15.71,16.05,41982401.93
2025-05-16,16.05,16.55,15.61,15.77,26393747.72
2025-05-17,15.77,15.79,15.09,15.33,22519386.58
2025-05-18,15.33,16.4,14.91,15.88,30425842.76
2025-05-19,15.88,16.01,14.85,15.79,40016239.74
2025-05-20,15.79,16.44,15.25,15.7,37637729.87
2025-05-21,15.7,16.49,15.52,16.11,48311044.05
2025-05-22,16.11,16.91,16.05,16.74,45574819.11
2025-05-23,16.74,17.15,15.42,15.54,51505106.69
2025-05-24,15.54,15.91,15.25,15.35,17320141.1
2025-05-25,15.35,15.56,14.87,15.54,17653238.3
2025-05-26,15.54,15.96,15.41,15.54,20113983.21
2025-05-27,15.54,16.13,15.16,15.91,20159335.74
2025-05-28,15.91,16.15,15.32,15.69,20739278.91
2025-05-29,15.69,16.19,15,15.05,29160727.68
2025-05-30,15.05,15.12,13.78,13.9,42744243.86
2025-05-31,13.9,14.19,13.41,13.97,25348364.93
2025-06-01,13.97,14.13,13.59,14.07,20871484.04
2025-06-02,14.07,14.12,13.6,14.09,20573502.3
2025-06-03,14.09,14.45,14.01,14.12,23799713.16
2025-06-04,14.12,14.48,13.72,13.84,19278363.97
2025-06-05,13.84,14.04,12.65,12.89,28899862.03
2025-06-06,12.89,13.69,12.83,13.58,21339882.6
2025-06-07,13.58,14.09,13.5,13.83,17208879.34
2025-06-08,13.83,13.98,13.57,13.73,11694327.1
2025-06-09,13.73,14.4,13.55,14.36,23642688.64
2025-06-10,14.36,15.53,14.33,15.45,50716061.29
2025-06-11,15.45,15.66,14.76,14.9,39954026.7
2025-06-12,14.9,14.92,13.84,13.98,29268415.12
2025-06-13,13.98,13.99,12.77,13.45,43230313.21
2025-06-14,13.45,13.47,12.85,13.16,13507474.44
2025-06-15,13.16,13.33,13,13.3,11207740.37
2025-06-16,13.3,14.16,13.18,13.57,34757995.6
2025-06-17,13.57,13.78,12.81,12.99,31506127.17
2025-06-18,12.99,13.23,12.64,13.12,24993927.46
2025-06-19,13.12,13.38,12.92,13.07,16261981.01
2025-06-20,13.07,13.28,12.3,12.51,24273394.89
2025-06-21,12.51,12.74,11.7,12.03,20428695.27
2025-06-22,12.03,12.2,10.94,11.66,42508969.07
2025-06-23,11.66,12.95,11.41,12.84,39119350.43
2025-06-24,12.84,13.73,12.8,13.42,37183809
2025-06-25,13.42,13.51,13,13.14,31859570.54
2025-06-26,13.14,13.56,13.08,13.23,7673625.03
