date,open,high,low,close,volume
2025-03-29,87.34,88,84.19,85.43,18740026.14
2025-03-30,85.43,86.79,84.69,86.07,18942435.8
2025-03-31,86.07,86.2,80.84,82.96,38083164.95
2025-04-01,82.96,85.88,82.86,84.49,20737416.99
2025-04-02,84.49,88.44,80.97,81.53,44021426.02
2025-04-03,81.53,84.63,80.18,83.41,26359168
2025-04-04,83.41,85.69,81.62,84.39,34422114.56
2025-04-05,84.39,84.93,81.63,82.67,11851738.18
2025-04-06,82.67,83.08,68.43,70.6,42199096.05
2025-04-07,70.6,72.95,63.1,70.98,54336986.35
2025-04-08,70.98,73.48,68.19,69.11,31102157.77
2025-04-09,69.11,78.27,66.52,76.01,48799411.37
2025-04-10,76.01,76.06,71.07,73.77,29734802.79
2025-04-11,73.77,77.47,73.7,76.2,28523035.44
2025-04-12,76.2,80.06,74.9,78.61,21656184.42
2025-04-13,78.61,80,76.43,77.82,20809763.37
2025-04-14,77.82,80.6,75.75,77.15,22556939.76
2025-04-15,77.15,78.68,74.67,75.27,17559032.7
2025-04-16,75.27,76.53,73.33,74.33,19846526.36
2025-04-17,74.33,76.51,73.67,74.94,16917953.41
2025-04-18,74.94,77.05,74.63,76,14087495.23
2025-04-19,76,76.73,74.26,76.1,12981948.26
2025-04-20,76.1,78.46,75.31,77.79,12871180.12
2025-04-21,77.79,81.73,77.44,78.12,21537977.41
2025-04-22,78.12,84.71,77.44,83.52,27142105.67
2025-04-23,83.52,85.24,82.26,83.29,28012866.38
2025-04-24,83.29,84.61,80.81,84.32,21410506.78
2025-04-25,84.32,87.33,82.96,86.34,22788757.31
2025-04-26,86.34,88.07,85.26,87.11,15124092.15
2025-04-27,87.11,87.63,84.64,85.41,13892129.99
2025-04-28,85.41,88.09,83.78,85.69,26264963.05
2025-04-29,85.69,87.44,84.58,85.6,24994698.32
2025-04-30,85.6,86.64,81.51,83.55,28408687.7
2025-05-01,83.55,91.03,83.34,88.88,32466548.69
2025-05-02,88.88,91.48,87.15,88.01,20514292.37
2025-05-03,88.01,88.04,85.63,86.58,13909993.24
2025-05-04,86.58,86.92,84.85,85.07,17061321.83
2025-05-05,85.07,89.5,82.2,83.27,41142884.68
2025-05-06,83.27,92.62,81.08,91.59,54552862.32
2025-05-07,91.59,93.59,87.26,89.55,56406202.48
2025-05-08,89.55,95.4,89.43,94.96,60860149.09
2025-05-09,94.96,101.51,93.86,100.52,62403171.89
2025-05-10,100.52,106.96,100.48,105.26,72588653.53
2025-05-11,105.26,105.92,98.25,100.13,54096321.55
2025-05-12,100.13,105.03,98.34,103.85,71042046.67
2025-05-13,103.85,105.22,99.47,103.45,62833093.93
2025-05-14,103.45,105.95,98.62,100.99,52240136.27
2025-05-15,100.99,101.92,95.61,99.28,55330956.33
2025-05-16,99.28,102.19,98.32,99.5,30881778.03
2025-05-17,99.5,101.23,95.71,96.1,27566118.42
2025-05-18,96.1,102.47,95.9,100.98,28134103.24
2025-05-19,100.98,101.25,94.42,98.28,28673974.11
2025-05-20,98.28,99.68,92.39,94.5,39038477.62
2025-05-21,94.5,98.34,93.51,97.15,33941895.53
2025-05-22,97.15,101.05,97.04,100.28,40525430.91
2025-05-23,100.28,102.89,94.67,95.29,35690648.68
2025-05-24,95.29,97.82,94.91,95.62,16304346.64
2025-05-25,95.62,96.05,93.15,95.67,15384886.02
2025-05-26,95.67,97.62,94.38,95.06,18077301.29
2025-05-27,95.06,97.03,93.11,95.95,29193828.1
2025-05-28,95.95,97.49,93.55,95.37,18183862.47
2025-05-29,95.37,98.9,92.9,93.21,29535342.82
2025-05-30,93.21,93.89,84.96,85.69,30719011.2
2025-05-31,85.69,87.95,83.2,87.09,18864692.96
2025-06-01,87.09,88.76,85.87,88.44,12795696.88
2025-06-02,88.44,89.99,87.04,89.58,15767846.88
2025-06-03,89.58,90.63,88.81,89.55,14157977.37
2025-06-04,89.55,91.02,87.47,88.02,12781518.98
2025-06-05,88.02,89.12,81.44,83.65,19567361
2025-06-06,83.65,87.73,83.26,87.34,15183559.26
2025-06-07,87.34,89.36,86.74,88.39,10925272.95
2025-06-08,88.39,88.66,86.74,87.24,11664798.34
2025-06-09,87.24,90.83,86.79,90.8,17038580.58
2025-06-10,90.8,93.48,89.59,93.33,21765408.46
2025-06-11,93.33,94.17,90.42,91.58,19173212.04
2025-06-12,91.58,91.87,86.1,86.2,16384821.24
2025-06-13,86.2,86.73,81.42,86.61,24884599.11
2025-06-14,86.61,86.95,84.27,85.24,12403288.79
2025-06-15,85.24,86.6,84.96,86.32,11660165.61
2025-06-16,86.32,88.94,85.39,86.67,17900437.75
2025-06-17,86.67,87.77,82.54,84.26,19946739.96
2025-06-18,84.26,85.66,83.38,85.13,13627679.6
2025-06-19,85.13,85.95,84.23,85.14,13789770.75
2025-06-20,85.14,85.99,81,82.94,20040137.33
2025-06-21,82.94,84.13,78.7,80.27,14916125.39
2025-06-22,80.27,82.05,76.24,80.25,22712090.6
2025-06-23,80.25,85.47,79.53,84.96,18904526.56
2025-06-24,84.96,85.42,83.9,84.88,14044159.8
2025-06-25,84.88,85.49,84.02,84.74,19361461.81
2025-06-26,84.74,85.98,84.59,85.38,7256410.32
