date,open,high,low,close,volume
2025-03-29,2.732,2.769,2.52,2.565,3186884.79
2025-03-30,2.565,2.775,2.547,2.591,4632005.93
2025-03-31,2.591,2.63,2.468,2.509,5778177.77
2025-04-01,2.509,2.697,2.482,2.65,4476418.94
2025-04-02,2.65,2.733,2.403,2.448,5538749.52
2025-04-03,2.448,2.547,2.365,2.507,4712299.29
2025-04-04,2.507,2.573,2.4,2.507,4306089.45
2025-04-05,2.507,2.531,2.402,2.44,2135548.67
2025-04-06,2.44,2.459,2.109,2.159,3612839.43
2025-04-07,2.159,2.255,1.978,2.12,9496163.07
2025-04-08,2.12,2.17,1.875,1.906,9090347.66
2025-04-09,1.906,2.146,1.82,2.101,9201911.48
2025-04-10,2.101,2.104,1.931,2.004,3850035.8
2025-04-11,2.004,2.121,1.999,2.087,3038634.23
2025-04-12,2.087,2.26,2.061,2.212,4924589.41
2025-04-13,2.212,2.246,2.077,2.094,3513712.27
2025-04-14,2.094,2.209,2.078,2.112,3825158.86
2025-04-15,2.112,2.145,2.015,2.04,2774273.71
2025-04-16,2.04,2.059,1.915,1.966,3484539.47
2025-04-17,1.966,2.097,1.958,2.051,2679349.71
2025-04-18,2.051,2.09,2.027,2.055,1927667.38
2025-04-19,2.055,2.198,2.05,2.182,3534746
2025-04-20,2.182,2.275,2.144,2.243,2936182.08
2025-04-21,2.243,2.331,2.201,2.217,4602925.77
2025-04-22,2.217,2.432,2.15,2.406,7568126.43
2025-04-23,2.406,2.572,2.396,2.47,7841223.12
2025-04-24,2.47,2.589,2.36,2.543,5844701.55
2025-04-25,2.543,2.651,2.487,2.62,6241514.15
2025-04-26,2.62,2.729,2.554,2.623,5858040.19
2025-04-27,2.623,2.658,2.486,2.489,3071405.38
2025-04-28,2.489,2.63,2.421,2.585,6733649.87
2025-04-29,2.585,2.62,2.488,2.53,3940328.71
2025-04-30,2.53,2.55,2.377,2.463,5497872.45
2025-05-01,2.463,2.606,2.459,2.543,6298797.98
2025-05-02,2.543,2.635,2.487,2.51,4855149.93
2025-05-03,2.51,2.515,2.402,2.424,3301989.36
2025-05-04,2.424,2.455,2.306,2.321,2804948.4
2025-05-05,2.321,2.396,2.286,2.314,3257425.27
2025-05-06,2.314,2.346,2.233,2.328,4454054.14
2025-05-07,2.328,2.383,2.224,2.284,4356035.84
2025-05-08,2.284,2.743,2.276,2.736,8963825.59
2025-05-09,2.736,2.986,2.723,2.902,12258030.15
2025-05-10,2.902,3.382,2.877,3.349,10429841.23
2025-05-11,3.349,3.368,3.067,3.14,9174011.5
2025-05-12,3.14,3.34,3.014,3.188,12241897
2025-05-13,3.188,3.294,2.996,3.21,6896382.33
2025-05-14,3.21,3.293,3.023,3.052,9873970.05
2025-05-15,3.052,3.099,2.818,2.882,8164367.88
2025-05-16,2.882,2.99,2.771,2.796,5824991.25
2025-05-17,2.796,2.806,2.659,2.694,5222947.47
2025-05-18,2.694,2.944,2.644,2.868,6735728.43
2025-05-19,2.868,2.878,2.646,2.77,5403041.73
2025-05-20,2.77,2.888,2.676,2.813,6802421.93
2025-05-21,2.813,2.966,2.757,2.866,6759623.64
2025-05-22,2.866,3.104,2.865,3.076,8726741.87
2025-05-23,3.076,3.16,2.784,2.8,7663432.76
2025-05-24,2.8,2.858,2.759,2.776,2771530.55
2025-05-25,2.776,2.814,2.638,2.798,3488848.71
2025-05-26,2.798,2.871,2.74,2.77,3988087.57
2025-05-27,2.77,2.926,2.699,2.818,5253906.19
2025-05-28,2.818,2.9,2.738,2.87,4962000.18
2025-05-29,2.87,2.99,2.746,2.755,6326520.19
2025-05-30,2.755,2.77,2.411,2.446,9934980.49
2025-05-31,2.446,2.466,2.335,2.422,5675197.84
2025-06-01,2.422,2.474,2.354,2.464,3350222.12
2025-06-02,2.464,2.516,2.375,2.504,4418168.95
2025-06-03,2.504,2.593,2.478,2.508,3770702.36
2025-06-04,2.508,2.577,2.422,2.437,3519024.68
2025-06-05,2.437,2.52,2.225,2.248,6200653.24
2025-06-06,2.248,2.369,2.246,2.316,4698636.58
2025-06-07,2.316,2.464,2.304,2.424,2364752.25
2025-06-08,2.424,2.463,2.374,2.422,2351240.65
2025-06-09,2.422,2.552,2.374,2.544,3368445.96
2025-06-10,2.544,2.665,2.504,2.662,3885339.82
2025-06-11,2.662,2.73,2.559,2.574,4714818.52
2025-06-12,2.574,2.579,2.367,2.371,5127437.54
2025-06-13,2.371,2.371,2.161,2.241,8829693.25
2025-06-14,2.241,2.249,2.16,2.234,3124467.62
2025-06-15,2.234,2.273,2.173,2.227,3371081.24
2025-06-16,2.227,2.388,2.206,2.273,5331604.42
2025-06-17,2.273,2.3,2.097,2.14,6180323.84
2025-06-18,2.14,2.203,2.073,2.188,4170673.49
2025-06-19,2.188,2.213,2.143,2.182,2988505.35
2025-06-20,2.182,2.201,2.019,2.075,5365025.71
2025-06-21,2.075,2.104,1.907,1.974,3934525.97
2025-06-22,1.974,2.008,1.795,1.899,7888158.56
2025-06-23,1.899,2.149,1.866,2.124,7818814.13
2025-06-24,2.124,2.231,2.113,2.192,5921279.53
2025-06-25,2.192,2.199,2.117,2.139,4092584.69
2025-06-26,2.139,2.192,2.095,2.099,3646126.98
