date,open,high,low,close,volume
2025-03-29,49.18,48.82,47.99,48.34,107369.25
2025-03-30,48.34,48.59,47.98,48.36,49839.39
2025-03-31,48.36,48.81,46.84,47.68,134114.86
2025-04-01,47.68,49.7,48.19,48.3,78951.76
2025-04-02,48.3,47.33,45.21,47.33,176006.69
2025-04-03,47.33,47.84,46,46.29,114095.58
2025-04-04,46.29,49.19,46.64,49.02,261354.48
2025-04-05,49.02,52.25,48.82,52.25,496677.36
2025-04-06,52.25,54.75,48.36,52.65,1040987.21
2025-04-07,52.65,53.86,49.93,51.07,667452.73
2025-04-08,51.07,51.85,47.99,51.01,387615.52
2025-04-09,51.01,55.85,52.15,53.05,398411.02
2025-04-10,53.05,53.14,50.76,52.82,240876.52
2025-04-11,52.82,56.93,52.95,53.51,249125.72
2025-04-12,53.51,54.79,53.35,53.7,86093.25
2025-04-13,53.7,54.35,52.55,52.93,244927.64
2025-04-14,52.93,53.73,51.86,52.26,143514.64
2025-04-15,52.26,53.43,50,53.43,439887.13
2025-04-16,53.43,53.69,50.85,51.4,117649.71
2025-04-17,51.4,52.33,50.24,50.59,137759.8
2025-04-18,50.59,50.65,49.42,50.2,88621.85
2025-04-19,50.2,51.16,50.2,50.58,70485.94
2025-04-20,50.58,51.46,50.29,50.33,38568.78
2025-04-21,50.33,51.85,50.6,51.04,133704.53
2025-04-22,51.04,54.52,51.84,52.45,335198.72
2025-04-23,52.45,52.91,51.76,51.82,151180.33
2025-04-24,51.82,52.51,51.36,51.46,53188.02
2025-04-25,51.46,54.17,51.69,52.84,127022.22
2025-04-26,52.84,53.83,52.44,52.98,68915.84
2025-04-27,52.98,52.63,51.59,52.07,110464.73
2025-04-28,52.07,52.95,51.9,52.05,81422.39
2025-04-29,52.05,52.03,51.22,51.6,44930.01
2025-04-30,51.6,51.57,50.72,51.37,69550.71
2025-05-01,51.37,52.64,51.38,51.56,69697.58
2025-05-02,51.56,51.78,51.05,51.51,93536.41
2025-05-03,51.51,51.43,50.71,51.3,15170.53
2025-05-04,51.3,51.27,50.17,51.23,29462.57
2025-05-05,51.23,51.77,50.68,50.81,92891.03
2025-05-06,50.81,52.36,50.65,50.95,118064.83
2025-05-07,50.95,51.37,50.48,50.74,72525.71
2025-05-08,50.74,54.12,52.6,52.61,166265.36
2025-05-09,52.61,55.78,52.46,55.65,317330.07
2025-05-10,55.65,56.81,54.94,56.11,161520.2
2025-05-11,56.11,56.21,54.7,55.03,106219.13
2025-05-12,55.03,55.3,53.94,54.31,143172.87
2025-05-13,54.31,55.13,53.62,54.55,119765.02
2025-05-14,54.55,54.99,54.03,54.59,53441.92
2025-05-15,54.59,55.47,53.38,53.47,130574.47
2025-05-16,53.47,54.15,53.08,53.58,55647.85
2025-05-17,53.58,53.58,52.71,53.31,25779.37
2025-05-18,53.31,55.09,53.08,53.1,119731.86
2025-05-19,53.1,53.85,52.07,52.39,171541.57
2025-05-20,52.39,53.11,51.93,52.21,83287.24
2025-05-21,52.21,53.88,52.12,52.51,231711.36
2025-05-22,52.51,54.02,52.61,52.8,143368.01
2025-05-23,52.8,52.32,50.73,52.31,103416.53
2025-05-24,52.31,52.61,51.39,52.17,73076.75
2025-05-25,52.17,53.26,51.35,52.45,35930.67
2025-05-26,52.45,52.66,51.86,52.37,29211.99
2025-05-27,52.37,52.46,51.32,52.07,68207.41
2025-05-28,52.07,52.69,51.36,52.52,43380.19
2025-05-29,52.52,51.87,50.6,51.85,54431.83
2025-05-30,51.85,51.23,49.81,50.49,83131.7
2025-05-31,50.49,51.04,50.01,50.37,89823.31
2025-06-01,50.37,51.27,49.92,50.09,65162.03
2025-06-02,50.09,50.71,49.98,50.12,46281.66
2025-06-03,50.12,50.74,49.56,50.1,78452.25
2025-06-04,50.1,50.27,49.39,50.06,47902.11
2025-06-05,50.06,50.47,48.19,49.73,79911.38
2025-06-06,49.73,51.82,50.16,51.78,102802.98
2025-06-07,51.78,53.07,51.83,52.06,48524.5
2025-06-08,52.06,52.77,50.83,51.9,98089.41
2025-06-09,51.9,55.42,52.76,52.83,95611.81
2025-06-10,52.83,54.14,52.67,53.74,62490.49
2025-06-11,53.74,54.6,52.69,53.82,64986.94
2025-06-12,53.82,53.68,52.13,52.24,63639.93
2025-06-13,52.24,54.06,51.44,51.96,98675.99
2025-06-14,51.96,52.03,51.26,51.46,28586.33
2025-06-15,51.46,52.12,51.4,51.57,28811.09
2025-06-16,51.57,52.74,50.88,51.55,117289.62
2025-06-17,51.55,50.75,46.04,48.53,343194.06
2025-06-18,48.53,49.23,47.81,48.18,72366.35
2025-06-19,48.18,54.62,47.96,52.38,458840.02
2025-06-20,52.38,54,51.48,51.49,138617.3
2025-06-21,51.49,51.58,49.75,50.88,79516.49
2025-06-22,50.88,50.41,49.01,49.91,109800.29
2025-06-23,49.91,58.96,50.56,51.88,831072.81
2025-06-24,51.88,52.97,49.88,50.19,145892.99
2025-06-25,50.19,51.39,50.15,50.95,55454.53
2025-06-26,51.05,51.19,49.93,50.11,2028687.55
