date,open,high,low,close,volume
2025-03-29,0.8419,0.8492,0.778,0.7988,21826595.89
2025-03-30,0.7988,0.8185,0.7783,0.7906,16245818.85
2025-03-31,0.7906,0.799,0.7507,0.7785,26584856.01
2025-04-01,0.7785,0.8357,0.7779,0.8222,27465651.38
2025-04-02,0.8222,0.8873,0.7743,0.7849,49257229.9
2025-04-03,0.7849,0.8285,0.7706,0.8142,34271392.41
2025-04-04,0.8142,0.8361,0.7833,0.8203,28610196.26
2025-04-05,0.8203,0.8263,0.789,0.8096,9974492.92
2025-04-06,0.8096,0.8153,0.7133,0.7309,25165397.69
2025-04-07,0.7309,0.802,0.6634,0.7571,58662374.88
2025-04-08,0.7571,0.8269,0.7051,0.7088,23799522.34
2025-04-09,0.7088,0.8982,0.6819,0.8495,49456844.4
2025-04-10,0.8495,0.882,0.7962,0.8128,34290919.82
2025-04-11,0.8128,0.9266,0.8085,0.8932,49639845.5
2025-04-12,0.8932,0.9261,0.8645,0.9055,24735103.21
2025-04-13,0.9055,0.9275,0.8378,0.8471,23996894.37
2025-04-14,0.8471,0.9135,0.8446,0.8758,27297657.5
2025-04-15,0.8758,0.8926,0.8274,0.8315,26504817.04
2025-04-16,0.8315,0.8443,0.8023,0.8192,20695368.69
2025-04-17,0.8192,0.851,0.8175,0.8287,15083476.52
2025-04-18,0.8287,0.8378,0.822,0.8302,8503474.79
2025-04-19,0.8302,0.8584,0.8283,0.855,8305623.34
2025-04-20,0.855,0.8634,0.8195,0.8378,12828618.52
2025-04-21,0.8378,0.8917,0.8357,0.8515,21011270.15
2025-04-22,0.8515,0.9249,0.837,0.916,30339885.03
2025-04-23,0.916,0.9538,0.9031,0.9159,28532060.31
2025-04-24,0.9159,1.046,0.8665,0.9799,56434739.47
2025-04-25,0.9799,1.038,0.9438,0.9906,57112796.14
2025-04-26,0.9906,1.049,0.9846,0.9951,32559171.75
2025-04-27,0.9951,1.008,0.9374,0.9451,25692355.48
2025-04-28,0.9451,0.9962,0.915,0.9733,45456606.29
2025-04-29,0.9733,0.9901,0.9185,0.93,26559568.02
2025-04-30,0.93,0.9441,0.8746,0.9082,28482921.27
2025-05-01,0.9082,0.9372,0.9034,0.9146,26420206.65
2025-05-02,0.9146,0.928,0.8916,0.9221,20056760.11
2025-05-03,0.9221,0.9227,0.8684,0.8753,14638436.74
2025-05-04,0.8753,0.8877,0.8525,0.8584,14160479.07
2025-05-05,0.8584,0.8912,0.8514,0.8671,23273835.64
2025-05-06,0.8671,0.8754,0.8282,0.8677,24085458.29
2025-05-07,0.8677,0.883,0.8468,0.8722,21885091.01
2025-05-08,0.8722,0.9843,0.8714,0.9757,40826609.51
2025-05-09,0.9757,1.062,0.964,1.005,53463092.7
