date,open,high,low,close,volume
2025-03-30,7.21e-06,7.34e-06,6.77e-06,6.94e-06,11564985.22
2025-03-31,6.94e-06,7.34e-06,6.77e-06,7.2e-06,18209337.18
2025-04-01,7.2e-06,7.86e-06,7.19e-06,7.72e-06,21884878.83
2025-04-02,7.72e-06,8.08e-06,6.91e-06,7.06e-06,37007767.1
2025-04-03,7.06e-06,7.29e-06,6.38e-06,6.7e-06,24195104.74
2025-04-04,6.7e-06,7.28e-06,6.61e-06,7.24e-06,24394333.11
2025-04-05,7.24e-06,7.37e-06,6.92e-06,7.06e-06,10259695.19
2025-04-06,7.06e-06,7.12e-06,6.16e-06,6.33e-06,17818394.85
2025-04-07,6.33e-06,6.78e-06,5.71e-06,6.44e-06,37027062.91
2025-04-08,6.44e-06,6.63e-06,5.93e-06,6.04e-06,14794570
2025-04-09,6.04e-06,7.14e-06,5.78e-06,6.97e-06,27704431.51
2025-04-10,6.97e-06,6.99e-06,6.48e-06,6.71e-06,16411686.43
2025-04-11,6.71e-06,7.04e-06,6.64e-06,6.94e-06,14236048.15
2025-04-12,6.94e-06,7.58e-06,6.82e-06,7.45e-06,16643500.46
2025-04-13,7.45e-06,7.76e-06,7.1e-06,7.28e-06,21150551.02
2025-04-14,7.28e-06,7.74e-06,7.24e-06,7.34e-06,30882184.05
2025-04-15,7.34e-06,7.51e-06,6.9e-06,7e-06,17996523.89
2025-04-16,7e-06,7.32e-06,6.93e-06,7.14e-06,18704043.75
2025-04-17,7.14e-06,7.45e-06,7.03e-06,7.24e-06,15217838.39
2025-04-18,7.24e-06,7.34e-06,7.01e-06,7.33e-06,10657784.63
2025-04-19,7.33e-06,7.6e-06,7.16e-06,7.5e-06,11265587.5
2025-04-20,7.5e-06,7.7e-06,7.27e-06,7.54e-06,11879398.59
2025-04-21,7.54e-06,8.05e-06,7.52e-06,7.74e-06,21833986.93
2025-04-22,7.74e-06,8.9e-06,7.62e-06,8.82e-06,32160750.52
2025-04-23,8.82e-06,9.3e-06,8.62e-06,8.84e-06,41284458.24
2025-04-24,8.84e-06,8.87e-06,8.33e-06,8.76e-06,19979664.05
2025-04-25,8.76e-06,9.29e-06,8.56e-06,9.06e-06,26736085.99
2025-04-26,9.06e-06,9.82e-06,9.02e-06,9.17e-06,27433850.25
2025-04-27,9.17e-06,9.21e-06,8.72e-06,8.77e-06,15264241.12
2025-04-28,8.77e-06,9.2e-06,8.56e-06,8.97e-06,26875976.29
2025-04-29,8.97e-06,9.16e-06,8.72e-06,8.86e-06,15903834.97
2025-04-30,8.86e-06,9.13e-06,8.46e-06,8.9e-06,17236662.39
2025-05-01,8.9e-06,9.09e-06,8.67e-06,8.74e-06,16139577.74
2025-05-02,8.74e-06,8.93e-06,8.54e-06,8.7e-06,17375919.01
2025-05-03,8.7e-06,8.72e-06,8.08e-06,8.17e-06,15060108.18
2025-05-04,8.17e-06,8.27e-06,8e-06,8.09e-06,15013379.69
2025-05-05,8.09e-06,8.36e-06,7.78e-06,7.94e-06,14131762.06
2025-05-06,7.94e-06,8.03e-06,7.59e-06,7.99e-06,12081022.43
2025-05-07,7.99e-06,8.31e-06,7.95e-06,8.26e-06,17768123.56
2025-05-08,8.26e-06,1.178e-05,8.22e-06,1.111e-05,85274295.56
2025-05-09,1.111e-05,1.395e-05,1.064e-05,1.237e-05,149667939.74
2025-05-10,1.237e-05,1.406e-05,1.216e-05,1.369e-05,106286984.99
2025-05-11,1.369e-05,1.424e-05,1.258e-05,1.361e-05,68508167.16
2025-05-12,1.361e-05,1.54e-05,1.278e-05,1.362e-05,124676922.52
2025-05-13,1.362e-05,1.51e-05,1.274e-05,1.444e-05,81429182.29
2025-05-14,1.444e-05,1.45e-05,1.349e-05,1.39e-05,53575408.3
2025-05-15,1.39e-05,1.414e-05,1.267e-05,1.303e-05,67211114.34
2025-05-16,1.303e-05,1.379e-05,1.252e-05,1.26e-05,40899004.68
2025-05-17,1.26e-05,1.276e-05,1.196e-05,1.217e-05,28066680.42
2025-05-18,1.217e-05,1.425e-05,1.215e-05,1.386e-05,64516219.24
2025-05-19,1.386e-05,1.419e-05,1.25e-05,1.328e-05,51746663.47
2025-05-20,1.328e-05,1.366e-05,1.263e-05,1.316e-05,39642780.36
2025-05-21,1.316e-05,1.463e-05,1.281e-05,1.365e-05,86402572.48
2025-05-22,1.365e-05,1.553e-05,1.363e-05,1.552e-05,72111755.72
2025-05-23,1.552e-05,1.633e-05,1.357e-05,1.381e-05,106330561.12
2025-05-24,1.381e-05,1.421e-05,1.358e-05,1.378e-05,38160754.93
2025-05-25,1.378e-05,1.399e-05,1.263e-05,1.361e-05,56995197.41
2025-05-26,1.361e-05,1.447e-05,1.349e-05,1.386e-05,53683863.43
2025-05-27,1.386e-05,1.432e-05,1.336e-05,1.39e-05,37892723.04
2025-05-28,1.39e-05,1.417e-05,1.338e-05,1.399e-05,28281369.28
2025-05-29,1.399e-05,1.512e-05,1.336e-05,1.344e-05,67905486.17
2025-05-30,1.344e-05,1.356e-05,1.151e-05,1.162e-05,52670517.95
2025-05-31,1.162e-05,1.188e-05,1.095e-05,1.165e-05,47380393.96
2025-06-01,1.165e-05,1.204e-05,1.129e-05,1.181e-05,19693473.16
2025-06-02,1.181e-05,1.243e-05,1.14e-05,1.235e-05,24270918.34
2025-06-03,1.235e-05,1.296e-05,1.217e-05,1.227e-05,37569922.37
2025-06-04,1.227e-05,1.263e-05,1.176e-05,1.183e-05,23502928.74
2025-06-05,1.183e-05,1.207e-05,1.037e-05,1.065e-05,51320628.84
2025-06-06,1.065e-05,1.152e-05,1.056e-05,1.107e-05,30620579.2
2025-06-07,1.107e-05,1.163e-05,1.097e-05,1.151e-05,14978851.77
2025-06-08,1.151e-05,1.207e-05,1.131e-05,1.167e-05,17148788.06
2025-06-09,1.167e-05,1.272e-05,1.141e-05,1.266e-05,30730951.5
2025-06-10,1.266e-05,1.362e-05,1.243e-05,1.313e-05,60054748.51
2025-06-11,1.313e-05,1.345e-05,1.221e-05,1.247e-05,40284130.49
2025-06-12,1.247e-05,1.26e-05,1.137e-05,1.151e-05,34419467.45
2025-06-13,1.151e-05,1.152e-05,1.046e-05,1.123e-05,52635329.93
2025-06-14,1.123e-05,1.132e-05,1.07e-05,1.095e-05,14140522.88
2025-06-15,1.095e-05,1.132e-05,1.081e-05,1.112e-05,11930306.57
2025-06-16,1.112e-05,1.156e-05,1.055e-05,1.059e-05,27701799.07
2025-06-17,1.059e-05,1.077e-05,9.66e-06,1.013e-05,33664721.99
2025-06-18,1.013e-05,1.04e-05,9.75e-06,1.034e-05,22922369.97
2025-06-19,1.034e-05,1.049e-05,1.015e-05,1.03e-05,15601662.27
2025-06-20,1.03e-05,1.052e-05,9.46e-06,9.84e-06,42865126.32
2025-06-21,9.84e-06,1.011e-05,8.93e-06,9.27e-06,19443962.1
2025-06-22,9.27e-06,9.48e-06,8.31e-06,8.88e-06,31054859.87
2025-06-23,8.88e-06,1.003e-05,8.67e-06,9.91e-06,33874870.58
2025-06-24,9.91e-06,1.03e-05,9.77e-06,1.006e-05,24066313.72
2025-06-25,1.006e-05,1.018e-05,9.38e-06,9.47e-06,18717822.5
2025-06-26,9.47e-06,9.75e-06,9.33e-06,9.37e-06,102187839.34
2025-06-27,9.16e-06,9.28e-06,9.08e-06,9.28e-06,13958876.77
