date,open,high,low,close,volume
2025-03-29,129.43,130.47,122.7,124.53,158062399
2025-03-30,124.53,127.02,123,124.8,130484138.99
2025-03-31,124.8,127.8,122.75,124.55,244535464.56
2025-04-01,124.55,130.38,123.76,126.69,249995441.21
2025-04-02,126.69,136.03,117.25,117.39,489976387.54
2025-04-03,117.39,120.92,112.22,117.11,406953031.87
2025-04-04,117.11,123.97,113.29,122.75,413622408.69
2025-04-05,122.75,122.81,116.33,120.26,145270398.55
2025-04-06,120.26,121.04,103.78,105.83,396554200.02
2025-04-07,105.83,112.81,95.24,106.94,784171623.39
2025-04-08,106.94,112.54,102.88,105.36,468303371.18
2025-04-09,105.36,120.76,101.19,119.04,556490414.2
2025-04-10,119.04,119.25,108.31,112.76,328642459.44
2025-04-11,112.76,122.62,112.1,121.36,307974272.05
2025-04-12,121.36,134.05,119.37,132.23,302324520.12
2025-04-13,132.23,133.95,125.29,128.31,268749542.26
2025-04-14,128.31,136.01,127.92,129.38,344188092.1
2025-04-15,129.38,134.4,125.84,126.09,263983582.31
2025-04-16,126.09,133.87,123.5,131.32,339239633.18
2025-04-17,131.32,136.14,129.51,134.84,308605724.42
2025-04-18,134.84,135.99,132.48,134.05,135405250.71
2025-04-19,134.05,140.51,133.59,139.86,239684105.71
2025-04-20,139.86,141.95,135.69,137.86,262357945.52
2025-04-21,137.86,143.08,133.86,136.57,308949387.05
2025-04-22,136.57,150.24,134.82,148.84,344651093.89
2025-04-23,148.84,154.14,147.22,151.17,354738245.15
2025-04-24,151.17,152.91,145.28,152.59,255662631.95
2025-04-25,152.59,156.95,150.03,150.92,355081699.04
2025-04-26,150.92,153.24,147.82,149.28,135707811.13
2025-04-27,149.28,150.41,145.58,148.04,138149445.08
2025-04-28,148.04,153.43,144.7,147.88,328420887.56
2025-04-29,147.88,150.37,145.02,146.35,217849603.92
2025-04-30,146.35,148.67,140.42,147.57,305033502.07
2025-05-01,147.57,154,147.57,150.9,226842187.27
2025-05-02,150.9,151.97,147.41,148.09,175361702.74
2025-05-03,148.09,149.07,145.9,146.76,97613707.89
2025-05-04,146.76,147.8,143.66,143.99,92536897.76
2025-05-05,143.99,147.72,142.56,146.67,145512165.51
2025-05-06,146.67,147.22,141.39,146.88,142497163.97
2025-05-07,146.88,149.56,144.71,147.36,181995770
2025-05-08,147.36,164.53,147.12,164.44,424323833.01
2025-05-09,164.44,176.08,161.07,172.8,478143680.65
2025-05-10,172.8,178.88,168.77,177.93,253391800.4
2025-05-11,177.93,180.03,169.47,173.23,298828128.25
2025-05-12,173.23,181.35,168.37,174.22,607439815.08
2025-05-13,174.22,184.79,166.18,183.77,426481222.52
2025-05-14,183.77,184.84,173.21,176.68,359369658.14
2025-05-15,176.68,178.36,166.83,169.17,416500006.6
2025-05-16,169.17,174.24,166.44,167.48,266324544.91
2025-05-17,167.48,169.99,164.1,166.02,219578844.48
2025-05-18,166.02,176.82,164.72,173.38,295333516.3
2025-05-19,173.38,173.95,159.5,166.88,333708835.79
2025-05-20,166.88,173.05,164.6,168.64,294367253.89
2025-05-21,168.64,175.98,165.66,173.61,437347677.53
2025-05-22,173.61,180.83,172.67,179.72,382502539.27
2025-05-23,179.72,187.67,173.36,174.03,653657871.87
2025-05-24,174.03,178.36,172.67,175.96,195112928.08
2025-05-25,175.96,176.95,169.23,175.81,245361650.31
2025-05-26,175.81,179.09,173.56,174.98,201379763.47
2025-05-27,174.98,179.48,171.36,176.8,260529810.97
2025-05-28,176.8,177.48,169.03,172.28,220733710.07
2025-05-29,172.28,175.41,166.05,166.71,253136898.85
2025-05-30,166.71,167.48,155.34,156.26,290792123.78
2025-05-31,156.26,158.08,152.22,156.53,190288070.24
2025-06-01,156.53,157.98,150.68,157.77,167972634.42
2025-06-02,157.77,158.98,151.76,156.91,217518120.62
2025-06-03,156.91,163.71,154.36,155.3,201821172.15
2025-06-04,155.3,158.01,153.05,153.31,148877566.64
2025-06-05,153.31,154.66,141.57,144.38,281549617.46
2025-06-06,144.38,152.46,144.27,147.95,163583793.09
2025-06-07,147.95,152.91,147.01,150.16,91401983.83
2025-06-08,150.16,155.33,148.1,152.53,84863431.72
2025-06-09,152.53,161.76,149.7,161.23,179108410.9
2025-06-10,161.23,165.68,156.4,165.14,282391223.47
2025-06-11,165.14,168.37,159.28,161.02,347532150.94
2025-06-12,161.02,161.34,152.11,152.41,244390728.28
2025-06-13,152.41,152.63,140.95,148.66,411444727.38
2025-06-14,148.66,148.76,142.06,144.72,129033268.57
2025-06-15,144.72,153.54,144.31,152.98,173155092.67
2025-06-16,152.98,158.81,150.39,150.74,280457762.66
2025-06-17,150.74,154.34,145.63,147.61,231469810.36
2025-06-18,147.61,149.3,143.81,146.41,173323788.84
2025-06-19,146.41,147.94,143.01,147.06,118290943.95
2025-06-20,147.06,148.8,135.74,140.15,209040394.59
2025-06-21,140.15,142.61,131.03,135.47,171088028.19
2025-06-22,135.47,137.64,126.09,131.78,299805281.71
2025-06-23,131.78,147.01,130.75,144.6,303946442.39
2025-06-24,144.6,146.81,142.43,145.98,227254323.46
2025-06-25,145.98,147.99,142.38,143.65,186155680.36
2025-06-26,143.65,148.03,143.3,143.6,63870794.7
