date,open,high,low,close,volume
2025-03-29,1895.39,1827.5,1826.4,1827.31,512634.8
2025-03-30,1827.31,1807.3,1806.94,1806.94,433430.16
2025-03-31,1806.94,1821.78,1820.68,1821.41,628313.99
2025-04-01,1821.41,1904.85,1903.9,1904.47,217337.88
2025-04-02,1904.47,1793.91,1793.19,1793.55,509458.79
2025-04-03,1793.55,1815.77,1814.86,1815.4,587264.34
2025-04-04,1815.4,1815.52,1814.8,1815.16,415562.79
2025-04-05,1815.16,1804.29,1803.75,1804.29,53785.81
2025-04-06,1804.29,1579.18,1576.81,1576.81,1541281.18
2025-04-07,1576.81,1550.71,1543.11,1549.47,4226257.99
2025-04-08,1549.47,1471.71,1469.35,1470.83,893158.52
2025-04-09,1470.83,1668.17,1664.83,1666.33,2102658.01
2025-04-10,1666.33,1520.44,1518.92,1520.29,689027.1
2025-04-11,1520.29,1565.08,1563.98,1565.08,592555.09
2025-04-12,1565.08,1643.02,1642.2,1642.85,396962.74
2025-04-13,1642.85,1596.86,1596.22,1596.22,488028.82
2025-04-14,1596.22,1623.14,1622.33,1622.49,463707.92
2025-04-15,1622.49,1588.06,1587.43,1587.91,231818.35
2025-04-16,1587.91,1576.77,1575.98,1575.98,460595.39
2025-04-17,1575.98,1582.89,1582.41,1582.41,259072.67
2025-04-18,1582.41,1587.77,1587.29,1587.61,28259.4
2025-04-19,1587.61,1611.77,1611.29,1611.45,247454.23
2025-04-20,1611.45,1586.83,1586.04,1586.2,454461.84
2025-04-21,1586.2,1578.91,1578.12,1578.91,547976.56
2025-04-22,1578.91,1756.86,1754.4,1755.99,1538542.06
2025-04-23,1755.99,1794.79,1789.76,1793.89,6015430.69
2025-04-24,1793.89,1768.49,1767.78,1768.32,1096037.3
2025-04-25,1768.32,1783.98,1783.26,1783.98,765842.83
2025-04-26,1783.98,1819.45,1818.9,1819.26,500679.72
2025-04-27,1819.26,1789.88,1788.27,1789.16,807717.29
2025-04-28,1789.16,1798.93,1797.31,1798.93,754291.29
2025-04-29,1798.93,1797.21,1796.31,1796.67,269410.9
2025-04-30,1796.67,1792.57,1792.04,1792.57,98824.62
2025-05-01,1792.57,1838.09,1837.18,1838.09,350267.28
2025-05-02,1838.09,1842.1,1841.73,1842.1,96176.19
2025-05-03,1842.1,1833.22,1832.67,1832.67,104773.53
2025-05-04,1832.67,1808.28,1807.55,1807.91,197261.56
2025-05-05,1807.91,1819.32,1818.59,1818.78,204648.67
2025-05-06,1818.78,1816.25,1815.16,1815.34,309280.28
2025-05-07,1815.34,1810.07,1809.53,1809.53,100193.6
2025-05-08,1809.53,2205.64,2203.66,2204.1,1515891.77
2025-05-09,2204.1,2343.68,2337.35,2342.27,4117454.92
2025-05-10,2342.27,2582.22,2580.41,2580.93,1692185.35
2025-05-11,2580.93,2513.49,2511.73,2512.24,1430944.08
2025-05-12,2512.24,2494.06,2492.32,2492.81,1986050.55
2025-05-13,2492.81,2678.16,2676.82,2677.63,779805.59
2025-05-14,2677.63,2608.24,2607.46,2607.72,455907.85
2025-05-15,2607.72,2547.22,2546.2,2546.45,354338.66
2025-05-16,2546.45,2536,2535.24,2535.5,256769.68
2025-05-17,2535.5,2474.43,2473.93,2474.43,213790.47
