date,open,high,low,close,volume
2025-03-29,2.504,2.544,2.245,2.31,72248337.49
2025-03-30,2.31,2.454,2.28,2.351,75588631.48
2025-03-31,2.351,2.356,2.185,2.266,100750951.97
2025-04-01,2.266,2.525,2.252,2.408,107496277.14
2025-04-02,2.408,2.546,2.252,2.307,118369455.68
2025-04-03,2.307,2.439,2.183,2.261,108662487.42
2025-04-04,2.261,2.306,2.128,2.257,113061125.75
2025-04-05,2.257,2.276,2.181,2.216,30147670.62
2025-04-06,2.216,2.223,1.881,1.92,89167653.27
2025-04-07,1.92,2.127,1.717,2.018,190002768.12
2025-04-08,2.018,2.102,1.909,1.928,105030972.38
2025-04-09,1.928,2.287,1.86,2.221,164075622.89
2025-04-10,2.221,2.23,2.05,2.112,75103449.26
2025-04-11,2.112,2.251,2.096,2.188,67546150.61
2025-04-12,2.188,2.398,2.157,2.346,67814098.3
2025-04-13,2.346,2.476,2.203,2.232,71522328.83
2025-04-14,2.232,2.351,2.162,2.193,68582191.93
2025-04-15,2.193,2.249,2.081,2.088,66431458.96
2025-04-16,2.088,2.135,2.022,2.055,55002821.79
2025-04-17,2.055,2.17,2.044,2.123,39001965.93
2025-04-18,2.123,2.153,2.096,2.12,20222613.77
2025-04-19,2.12,2.178,2.111,2.155,24089462.53
2025-04-20,2.155,2.171,2.082,2.113,25065270.98
2025-04-21,2.113,2.284,2.11,2.196,81396579.37
2025-04-22,2.196,2.748,2.169,2.669,127881452.46
2025-04-23,2.669,3.078,2.669,2.968,260350557.16
2025-04-24,2.968,3.395,2.897,3.347,346187595.74
2025-04-25,3.347,3.811,3.277,3.52,428644591.3
2025-04-26,3.52,3.65,3.345,3.52,103479721.08
2025-04-27,3.52,3.655,3.428,3.559,91937621.79
2025-04-28,3.559,3.874,3.393,3.527,204326649.21
2025-04-29,3.527,3.635,3.437,3.534,98867153.02
2025-04-30,3.534,3.604,3.275,3.507,116345846.25
2025-05-01,3.507,3.768,3.457,3.552,138804465.54
2025-05-02,3.552,3.572,3.395,3.427,96116708.91
2025-05-03,3.427,3.462,3.268,3.335,62938811.92
2025-05-04,3.335,3.36,3.156,3.275,63506266.64
2025-05-05,3.275,3.494,3.213,3.422,120423352.68
2025-05-06,3.422,3.427,3.115,3.345,133018255.95
2025-05-07,3.345,3.446,3.236,3.332,93896966.1
2025-05-08,3.332,4.1,3.317,4.033,320435779.57
2025-05-09,4.033,4.076,3.813,3.952,187879998.2
2025-05-10,3.952,4.156,3.839,4.123,138840761.74
2025-05-11,4.123,4.273,3.895,4.018,148454405.5
2025-05-12,4.018,4.296,3.81,3.964,220469045.02
2025-05-13,3.964,4.115,3.815,4.065,118573445.66
2025-05-14,4.065,4.082,3.856,3.916,77349147.38
2025-05-15,3.916,3.96,3.646,3.848,133540857.3
2025-05-16,3.848,3.952,3.74,3.781,71746407.75
2025-05-17,3.781,3.863,3.674,3.804,58909343.49
2025-05-18,3.804,4.007,3.695,3.945,103261350.86
2025-05-19,3.945,3.975,3.586,3.839,104352994.22
2025-05-20,3.839,3.942,3.781,3.855,99144123.88
2025-05-21,3.855,4.07,3.799,3.932,130956488.88
2025-05-22,3.932,4.202,3.666,3.89,327404764.2
2025-05-23,3.89,3.957,3.534,3.582,200494413.97
2025-05-24,3.582,3.695,3.569,3.626,38267914.1
2025-05-25,3.626,3.667,3.44,3.602,65706400.28
2025-05-26,3.602,3.664,3.455,3.491,59481036.45
2025-05-27,3.491,3.735,3.406,3.675,95809410.43
2025-05-28,3.675,3.746,3.515,3.607,64983994.26
2025-05-29,3.607,3.728,3.512,3.525,71259280.16
2025-05-30,3.525,3.551,3.172,3.189,91439248.89
2025-05-31,3.189,3.315,3.055,3.248,74530122.42
2025-06-01,3.248,3.367,3.187,3.345,46247725.77
2025-06-02,3.345,3.372,3.223,3.332,47282682.92
2025-06-03,3.332,3.394,3.22,3.253,46124201.29
2025-06-04,3.253,3.294,3.158,3.164,40244769.33
2025-06-05,3.164,3.23,2.882,2.923,83771314.09
2025-06-06,2.923,3.223,2.918,3.196,57885411.74
2025-06-07,3.196,3.314,3.174,3.245,39093486.9
2025-06-08,3.245,3.284,3.183,3.225,28990655.11
2025-06-09,3.225,3.469,3.185,3.449,59478173.58
2025-06-10,3.449,3.558,3.367,3.493,67205804.49
2025-06-11,3.493,3.528,3.34,3.396,63070406.16
2025-06-12,3.396,3.4,3.186,3.209,59877676.52
2025-06-13,3.209,3.211,2.921,3.078,107735505.37
2025-06-14,3.078,3.078,2.807,2.947,67854145.81
2025-06-15,2.947,3.043,2.945,3.024,42454136.06
2025-06-16,3.024,3.159,2.973,2.996,63881500.4
2025-06-17,2.996,3.058,2.803,2.833,95065646.58
2025-06-18,2.833,2.918,2.707,2.828,72360250.04
2025-06-19,2.828,2.868,2.785,2.829,50111113.58
2025-06-20,2.829,2.887,2.65,2.717,56142596.65
2025-06-21,2.717,2.754,2.459,2.57,63761853.91
2025-06-22,2.57,2.618,2.295,2.45,118238117.56
2025-06-23,2.45,2.879,2.396,2.832,163185714.88
2025-06-24,2.832,2.914,2.736,2.799,103247011.35
2025-06-25,2.799,2.848,2.71,2.733,54272528.53
2025-06-26,2.733,2.806,2.668,2.674,27747253.7
