date,open,high,low,close,volume
2025-03-30,231.72,237.17,222.49,226.77,2903056.66
2025-03-31,226.77,227.65,212.95,223.65,6333981.22
2025-04-01,223.65,235.31,223.14,232.11,5005301.16
2025-04-02,232.11,237.43,208.71,212.14,8071607.8
2025-04-03,212.14,219.72,198.38,215.74,6414924.46
2025-04-04,215.74,222.65,203.43,220.71,6614476.18
2025-04-05,220.71,221.21,212.93,219.78,3233580.27
2025-04-06,219.78,219.86,177.79,183.68,9846979.78
2025-04-07,183.68,208.43,167.91,204.26,11706432.04
2025-04-08,204.26,217.72,193.08,194.87,9281524.46
2025-04-09,194.87,234.01,190.21,230.41,14556309
2025-04-10,230.41,242.31,225.44,231.52,12095670.17
2025-04-11,231.52,260.22,231.14,250.6,14830742.52
2025-04-12,250.6,263.06,248.33,253.91,7880309.38
2025-04-13,253.91,256.3,236.2,239.98,4637614.05
2025-04-14,239.98,250.16,234.55,236.62,5828979.8
2025-04-15,236.62,243.45,229.38,230.69,6527584.21
2025-04-16,230.69,236.69,222.68,230.35,6558964.77
2025-04-17,230.35,251.6,228.24,248.49,8629186.63
2025-04-18,248.49,276.02,247.85,274.6,13611153.89
2025-04-19,274.6,301.97,269.81,290.67,14604561.22
2025-04-20,290.67,325.48,288.64,315.7,23781141.29
2025-04-21,315.7,340.39,301.55,314.05,21581541.49
2025-04-22,314.05,350.92,309.16,338.35,23071459.65
2025-04-23,338.35,350.18,323.44,336.64,15986816.61
2025-04-24,336.64,368.54,325.67,357.9,16698408.98
2025-04-25,357.9,375.37,348.82,354.19,15220244.64
2025-04-26,354.19,359.68,337.54,349.48,7378971.64
2025-04-27,349.48,365.05,340.7,360.94,7856037.48
2025-04-28,360.94,390.6,345.57,378.48,14898769.64
2025-04-29,378.48,386.58,361.42,366.56,8663180.6
2025-04-30,366.56,371.61,334.49,355.37,10941522.69
2025-05-01,355.37,375.66,351.69,358.03,9244360.85
2025-05-02,358.03,380.12,353.89,375.18,8749523.54
2025-05-03,375.18,376.92,353.01,353.29,7413047.36
2025-05-04,353.29,355.57,339.34,344.21,4873077.35
2025-05-05,344.21,382.77,340.01,375.1,13123796.28
2025-05-06,375.1,378.26,352.68,373.94,14843627.65
2025-05-07,373.94,387.17,353.51,368.03,17957724.66
2025-05-08,368.03,427.61,364.02,423.2,31628123.27
2025-05-09,423.2,451.52,417.78,430.36,23262463.22
2025-05-10,430.36,469.24,424.12,464.63,16638128.06
2025-05-11,464.63,468.17,439.32,458.79,14067430.73
2025-05-12,458.79,490.83,435.27,456.45,26421989.38
2025-05-13,456.45,470.54,442.17,462.13,16889725.64
2025-05-14,462.13,470.41,443.9,455.56,15693486.1
2025-05-15,455.56,462.4,418.07,436.43,21611537.19
2025-05-16,436.43,446.02,424.02,425.42,11144589.13
2025-05-17,425.42,428.06,410.04,423.59,11582471.59
2025-05-18,423.59,440.86,396.58,425.62,17323960.25
2025-05-19,425.62,428.34,388.02,410.97,21895753.73
2025-05-20,410.97,424.38,406.41,415.55,19753544.7
2025-05-21,415.55,487.25,410.9,470.06,18788764.09
2025-05-22,470.06,515.73,458.7,489.27,20753629.67
2025-05-23,489.27,492.54,414.46,420.63,21393982.66
2025-05-24,420.63,441.31,418.77,432.06,10856031.73
2025-05-25,432.06,436.33,411.68,432.05,9560669.13
2025-05-26,432.05,460.6,426.09,435.19,13188482.82
2025-05-27,435.19,458.96,425.81,448.37,10754346.94
2025-05-28,448.37,457.57,427.25,434.88,9355478.87
2025-05-29,434.88,442.74,414.7,416.38,10986323.6
2025-05-30,416.38,418.52,375.8,376.56,22293995.63
2025-05-31,376.56,435.8,366.17,430.63,21365128.98
2025-06-01,430.63,439.04,410.59,414.28,10566992.46
2025-06-02,414.28,420.12,397.57,403.97,10637391.82
2025-06-03,403.97,407.88,384.42,387,15714996.3
2025-06-04,387,400.04,377.07,381.29,12782418.44
2025-06-05,381.29,384.33,346.63,351.94,18258669.54
2025-06-06,351.94,378.75,351.56,367.58,17087692.2
2025-06-07,367.58,392.45,365.32,386.38,10575306.05
2025-06-08,386.38,389.62,373.41,383.5,7921560.36
2025-06-09,383.5,432.74,380.25,420.35,23622248.02
2025-06-10,420.35,443.24,415.31,427.78,21742021.99
2025-06-11,427.78,436.56,401.21,407.94,15584400.75
2025-06-12,407.94,408.34,378.68,386.41,20920116.41
2025-06-13,386.41,386.49,353.64,375.52,20931491.31
2025-06-14,375.52,379.78,353.81,363.62,6981236.15
2025-06-15,363.62,375.56,355.09,367,9110498.88
2025-06-16,367,391.62,363.9,367.29,11423581.27
2025-06-17,367.29,372.04,334.57,349.96,16341657.53
2025-06-18,349.96,366.87,337.95,362.62,13170249.94
2025-06-19,362.62,368.01,345.5,350.52,8063211.11
2025-06-20,350.52,359.74,330.45,340.36,10791749.56
2025-06-21,340.36,345.43,302.65,316.35,14982132.03
2025-06-22,316.35,323.33,287.63,305.49,22585003.78
2025-06-23,305.49,359.89,296.97,350.17,23112333.96
2025-06-24,350.17,364.35,341.13,345.62,20368160.16
2025-06-25,345.62,346.81,322.8,323.29,12506160.92
2025-06-26,323.29,333.63,321.28,323.73,3450631.6
2025-06-27,319.84,325.11,318.89,324.77,319910.58
