date,open,high,low,close,volume
2025-03-30,34.71,34.83,29.03,30.6,463408.61
2025-03-31,30.6,31.6,27.02,30.16,389832.09
2025-04-01,30.16,33.76,29.4,31.77,312121.51
2025-04-02,31.77,32.69,31.3,31.6,266580.5
2025-04-03,31.6,32.69,30.78,32.32,229296.7
2025-04-04,32.32,32.69,31.35,32.68,283125.83
2025-04-05,32.68,32.69,30.65,32.3,295746.97
2025-04-06,32.3,32.47,29.25,30.13,301914.28
2025-04-07,30.13,30.26,26.13,28.81,331261.99
2025-04-08,28.81,29.78,27.51,27.84,276962.96
2025-04-09,27.84,29.99,24.99,28.05,301168.52
2025-04-10,28.05,31.45,26.92,28.8,402286.34
2025-04-11,28.8,29.99,25.99,28.32,376454.21
2025-04-12,28.32,32.49,27.51,32.17,312357.15
2025-04-13,32.17,32.49,27.84,30.63,410366.75
2025-04-14,30.63,32,28.16,29.88,367752.85
2025-04-15,29.88,32,28.32,30.34,361955.2
2025-04-16,30.34,32,28.89,30.82,333938.4
2025-04-17,30.82,31.71,29.89,31,309182.97
2025-04-18,31,31.99,29.95,31.21,359120.76
2025-04-19,31.21,31.64,29.96,30.47,293339.27
2025-04-20,30.47,30.99,28.93,29.92,327250.1
2025-04-21,29.92,31,28,29.99,342983.82
2025-04-22,29.99,31,28,30.72,383643.96
2025-04-23,30.72,31.25,29.1,30.24,315196.36
2025-04-24,30.24,31.09,29.31,30.48,263749.54
2025-04-25,30.48,31.28,29.34,30.44,254739.66
2025-04-26,30.44,30.9,29.4,30.63,291934.53
2025-04-27,30.63,31.25,28.11,29.01,260578.26
2025-04-28,29.01,29.46,28.16,29.3,261799.31
2025-04-29,29.3,30.5,29.1,29.9,284320.89
2025-04-30,29.9,30.23,26.5,28.85,298862.05
2025-05-01,28.85,30.5,28.7,30.19,285853.41
2025-05-02,30.19,30.5,29,30.17,282308.23
2025-05-03,30.17,30.21,28.52,28.96,281368.15
2025-05-04,28.96,29.38,28.06,28.59,263426.61
2025-05-05,28.59,29.15,26.66,27.8,285761.35
2025-05-06,27.8,28.5,27.43,28.31,235322.91
2025-05-07,28.31,30.04,27.5,28.21,311492.85
2025-05-08,28.21,33.84,28.1,31.88,308419.55
2025-05-09,31.88,33.94,31,31.68,309049.49
2025-05-10,31.68,33.25,30.15,33.14,579231.26
2025-05-11,33.14,33.5,26.35,30.72,477926.71
2025-05-12,30.72,33,29.88,30.37,353216.77
2025-05-13,30.37,33,28.82,31.97,385485.63
2025-05-14,31.97,32.75,31.5,31.82,236328.73
2025-05-15,31.82,32.48,29,31.4,537220.09
2025-05-16,31.4,33,28.18,30.46,409957.48
2025-05-17,30.46,31.36,28,29.41,316537.48
2025-05-18,29.41,36,29.41,31.76,284228.5
2025-05-19,31.76,35.86,31,32.33,306573.1
2025-05-20,32.33,35.19,31.91,32.84,323061.2
2025-05-21,32.84,34.03,31.24,32.77,332840.3
2025-05-22,32.77,34.99,32.57,33.92,319398.8
2025-05-23,33.92,34.09,32.66,32.74,317762.96
2025-05-24,32.74,33.08,29.78,30.97,295987.66
2025-05-25,30.97,31.39,29.8,30.44,273438.26
2025-05-26,30.44,32.82,27.21,32.56,487222.96
2025-05-27,32.56,32.97,29.2,32.37,452489.22
2025-05-28,32.37,35,32.26,34.31,398438.94
2025-05-29,34.31,35.13,32.6,33.19,351317.15
2025-05-30,33.19,33.31,30.1,30.96,306984.19
2025-05-31,30.96,31.18,30.31,30.4,256881.82
2025-06-01,30.4,35.5,29.91,30.59,295227.15
2025-06-02,30.59,30.67,28.58,29.71,281668.63
2025-06-03,29.71,30.23,27.99,29.33,330897.25
2025-06-04,29.33,29.74,27.2,27.82,311239.87
2025-06-05,27.82,28.87,27.03,27.79,263711.12
2025-06-06,27.79,27.93,25.06,27.1,331477.1
2025-06-07,27.1,31.89,26.91,27.69,251679.12
2025-06-08,27.69,28.8,25.55,28.43,371006.38
2025-06-09,28.43,29.52,26.1,28.14,424099.07
2025-06-10,28.14,29.38,27.86,29.24,304005.22
2025-06-11,29.24,29.88,27.68,29.58,293928.47
2025-06-12,29.58,29.58,27,27.48,299509.19
2025-06-13,27.48,27.57,24.62,27.03,271615.55
2025-06-14,27.03,27.85,25.5,26.46,299395.43
2025-06-15,26.46,30.8,24.85,28.19,333737.18
2025-06-16,28.19,30,27.94,28.73,313915.47
2025-06-17,28.73,29.66,26.78,27.23,315257.23
2025-06-18,27.23,28.04,25.13,28.03,291997.67
2025-06-19,28.03,28,26.8,26.82,168863.82
2025-06-20,26.82,26.99,23.34,24.18,286267.5
2025-06-21,24.18,25.23,23.91,24.76,233252.82
2025-06-22,24.76,25.42,24.66,24.9,242449.75
2025-06-23,24.9,26.27,24.75,26.19,242425.71
2025-06-24,26.19,26.23,24.99,25.66,259856.25
2025-06-25,25.66,26.01,25.03,25.98,267441.89
2025-06-26,25.98,26.25,25.74,26.21,106974.06
2025-06-27,25.84,26.14,25.71,25.92,18102.54
