date,open,high,low,close,volume
2025-03-30,3.703,3.987,3.649,3.9,1819324.51
2025-03-31,3.9,4.163,3.844,4.103,4596358.45
2025-04-01,4.103,4.211,3.995,4.06,2510978.88
2025-04-02,4.06,4.094,3.804,3.834,1232080.72
2025-04-03,3.834,3.881,3.54,3.591,2871587.09
2025-04-04,3.591,3.595,3.337,3.41,2170080.63
2025-04-05,3.41,3.411,3.217,3.258,738077.41
2025-04-06,3.258,3.331,2.856,2.917,1216037.6
2025-04-07,2.917,3.177,2.842,3.105,3603141.01
2025-04-08,3.105,3.177,2.922,2.976,1022991.24
2025-04-09,2.976,3.239,2.898,3.154,1995589.55
2025-04-10,3.154,3.156,2.862,2.914,1201072.94
2025-04-11,2.914,2.994,2.894,2.926,585774.44
2025-04-12,2.926,3.075,2.784,2.983,735468.26
2025-04-13,2.983,2.997,2.805,2.818,909319.38
2025-04-14,2.818,2.892,2.782,2.883,833059.66
2025-04-15,2.883,3.011,2.825,2.856,1274793.3
2025-04-16,2.856,2.924,2.813,2.892,802461.86
2025-04-17,2.892,2.995,2.887,2.94,916196.7
2025-04-18,2.94,3.022,2.93,2.999,352787.46
2025-04-19,2.999,3.027,2.942,2.97,185168.6
2025-04-20,2.97,3.011,2.956,2.993,320301.34
2025-04-21,2.993,3.048,2.879,2.892,765156.34
2025-04-22,2.892,3.086,2.867,3.084,529332.73
2025-04-23,3.084,3.213,3.056,3.181,1050694
2025-04-24,3.181,3.194,3.069,3.193,496025.92
2025-04-25,3.193,3.276,3.165,3.2,715434.52
2025-04-26,3.2,3.352,3.2,3.344,582587.66
2025-04-27,3.344,3.392,3.223,3.275,1339541.56
2025-04-28,3.275,3.343,3.191,3.274,836432.9
2025-04-29,3.274,3.296,3.157,3.189,496677.52
2025-04-30,3.189,3.256,3.13,3.171,656337.26
2025-05-01,3.171,3.242,3.129,3.212,420602.18
2025-05-02,3.212,3.264,3.119,3.173,294838.41
2025-05-03,3.173,3.205,3.085,3.09,221493.09
2025-05-04,3.09,3.116,3.014,3.022,232883.25
2025-05-05,3.022,3.044,2.949,2.962,366734.13
2025-05-06,2.962,3.035,2.937,3.015,540698.96
2025-05-07,3.015,3.041,2.98,3.019,113013.37
2025-05-08,3.019,3.278,3.002,3.208,4958598.5
2025-05-09,3.208,3.375,3.175,3.286,1518512.86
2025-05-10,3.286,3.517,3.271,3.514,1420969.29
2025-05-11,3.514,3.585,3.331,3.411,996382.23
2025-05-12,3.411,3.583,3.246,3.36,1238821.4
2025-05-13,3.36,3.434,3.196,3.396,1047355.24
2025-05-14,3.396,3.458,3.228,3.249,797719.35
2025-05-15,3.249,3.282,3.03,3.067,1164353.07
2025-05-16,3.067,3.18,3.065,3.101,507554
2025-05-17,3.101,3.106,3.01,3.074,608738.07
2025-05-18,3.074,3.195,3.022,3.14,718801.03
2025-05-19,3.14,3.141,2.888,3.03,677590.84
2025-05-20,3.03,3.095,3.011,3.087,1155589.81
2025-05-21,3.087,3.139,3.019,3.1,664697.41
2025-05-22,3.1,3.197,3.086,3.175,430973.44
2025-05-23,3.175,3.216,2.945,2.977,1092311.95
2025-05-24,2.977,3.041,2.966,3.032,249407.14
2025-05-25,3.032,3.043,2.916,2.994,125134.44
2025-05-26,2.994,3.024,2.939,2.969,341012.56
2025-05-27,2.969,3.026,2.928,3.011,324594.29
2025-05-28,3.011,3.693,2.978,3.325,4898132.27
2025-05-29,3.325,3.473,3.251,3.378,1412775.16
2025-05-30,3.378,3.402,3.07,3.098,941833.73
2025-05-31,3.098,3.167,2.996,3.155,720853.84
2025-06-01,3.155,3.221,3.095,3.191,183704.82
2025-06-02,3.191,3.253,3.103,3.215,391141.35
2025-06-03,3.215,3.238,3.165,3.184,283219.94
2025-06-04,3.184,3.225,3.141,3.167,362914.32
2025-06-05,3.167,3.256,2.996,3.035,560522.41
2025-06-06,3.035,3.21,3.025,3.155,1002983.17
2025-06-07,3.155,3.207,3.124,3.182,1563530.84
2025-06-08,3.182,3.201,3.121,3.172,367855.41
2025-06-09,3.172,3.329,3.152,3.31,575598.34
2025-06-10,3.31,3.392,3.274,3.348,519371.64
2025-06-11,3.348,3.348,3.207,3.24,578517.55
2025-06-12,3.24,3.243,3.068,3.095,319272.04
2025-06-13,3.095,3.095,2.904,3.027,596658.69
2025-06-14,3.027,3.035,2.908,2.955,307289.44
2025-06-15,2.955,2.983,2.942,2.978,143762.05
2025-06-16,2.978,3.047,2.957,2.963,928947.17
2025-06-17,2.963,3.025,2.915,2.959,352392.13
2025-06-18,2.959,2.991,2.849,2.949,398285.96
2025-06-19,2.949,2.975,2.909,2.968,268436.38
2025-06-20,2.968,3.007,2.891,2.939,232315.62
2025-06-21,2.939,2.971,2.781,2.854,199606.87
2025-06-22,2.854,2.893,2.609,2.733,480771.89
2025-06-23,2.733,2.944,2.714,2.913,1259216.53
2025-06-24,2.913,2.935,2.851,2.902,1471313.1
2025-06-25,2.902,2.918,2.817,2.833,411130.43
2025-06-26,2.836,2.89,2.821,2.824,12296621.17
2025-06-27,2.815,2.839,2.805,2.838,1680495.16
