date,open,high,low,close,volume
2025-03-30,10.07,10.37,9.961,10.21,10738450.02
2025-03-31,10.21,10.31,9.884,10.01,13947420.98
2025-04-01,10.01,10.45,9.96,10.38,12118207.17
2025-04-02,10.38,10.66,8.997,9.169,34139720.36
2025-04-03,9.169,9.49,8.751,9.469,17414154.04
2025-04-04,9.469,9.639,9.122,9.35,13744498.2
2025-04-05,9.35,9.45,9.064,9.23,6338280.03
2025-04-06,9.23,9.261,7.713,7.92,16729369.64
2025-04-07,7.92,8.258,7.153,7.821,15934088.11
2025-04-08,7.821,8.048,7.442,7.563,10608585.38
2025-04-09,7.563,8.393,7.225,8.163,18869210.19
2025-04-10,8.163,8.218,7.663,7.91,10215047.29
2025-04-11,7.91,8.196,7.883,8.057,9070481.65
2025-04-12,8.057,8.78,7.949,8.689,10608324.53
2025-04-13,8.689,8.78,8.059,8.273,12117623.65
2025-04-14,8.273,8.499,7.85,7.879,12429846.03
2025-04-15,7.879,8.22,7.781,7.83,10073062.49
2025-04-16,7.83,8.1,7.58,7.722,9885471.79
2025-04-17,7.722,7.882,7.399,7.57,10763463.06
2025-04-18,7.57,7.869,7.481,7.79,8291134.33
2025-04-19,7.79,8.699,7.762,8.41,23306568.7
2025-04-20,8.41,8.619,8.03,8.172,7273009.63
2025-04-21,8.172,8.501,8.149,8.315,8503563.76
2025-04-22,8.315,9.268,8.151,9.22,18712098.88
2025-04-23,9.22,16,9.133,13.3,207697892.87
2025-04-24,13.3,13.6,11.57,12.21,95662143.3
2025-04-25,12.21,14.43,11.8,13.35,78676576.44
2025-04-26,13.35,16.43,13.23,15.63,129067857.3
2025-04-27,15.63,15.8,14.26,14.87,60556387.01
2025-04-28,14.87,15.6,14.15,14.68,55173318.34
2025-04-29,14.68,14.89,12.7,13,49549523.93
2025-04-30,13,13.48,12.04,13.17,40451456.48
2025-05-01,13.17,13.49,12.57,12.75,39863897.12
2025-05-02,12.75,13.34,12.32,13.22,28836645.99
2025-05-03,13.22,13.31,11.03,11.34,34629230.09
2025-05-04,11.34,11.48,10.77,10.96,29044652.93
2025-05-05,10.96,11.62,10.78,11.18,33875424.84
2025-05-06,11.18,11.24,10.39,11.06,28554999.54
2025-05-07,11.06,11.25,10.67,10.98,17680549.54
2025-05-08,10.98,12.76,10.96,12.59,64591579.12
2025-05-09,12.59,14.89,12.43,14.26,116073559.68
2025-05-10,14.26,15.24,13.75,14.91,52963266.57
2025-05-11,14.91,15.22,13.42,13.74,36803546.74
2025-05-12,13.74,14.71,12.19,13.07,85874248.37
2025-05-13,13.07,13.87,12.29,13.78,46141795.34
2025-05-14,13.78,13.98,12.93,13.38,36944334.98
2025-05-15,13.38,13.58,12.35,12.78,48412686.67
2025-05-16,12.78,13.15,12.46,12.64,24204462.54
2025-05-17,12.64,13.3,12.22,12.66,33809535.27
2025-05-18,12.66,13.6,12.61,13.25,30177722.24
2025-05-19,13.25,13.35,12.33,12.86,23355767.05
2025-05-20,12.86,14.66,12.71,14.44,45487436.67
2025-05-21,14.44,15.2,13.86,14.39,82920158.09
2025-05-22,14.39,15.93,13.97,14.72,100346432
2025-05-23,14.72,14.73,12.42,12.53,86001864.39
2025-05-24,12.53,13.15,12.45,12.92,22691164.25
2025-05-25,12.92,12.94,12.28,12.83,21527708.2
2025-05-26,12.83,13.26,12.56,12.73,27846312.95
2025-05-27,12.73,13.04,12.39,12.78,21204519.43
2025-05-28,12.78,12.91,12.07,12.48,17009443.54
2025-05-29,12.48,12.76,11.85,11.95,18500665.14
2025-05-30,11.95,12.01,10.69,10.84,22189682.14
2025-05-31,10.84,11.4,10.45,11.25,21085502.95
2025-06-01,11.25,11.42,10.95,11.39,6877981.76
2025-06-02,11.39,11.41,11.04,11.33,7508905.61
2025-06-03,11.33,11.91,11.12,11.2,26988787.85
2025-06-04,11.2,11.26,10.74,10.81,11070494.29
2025-06-05,10.81,10.99,9.387,9.735,27328606.69
2025-06-06,9.735,10.84,9.63,10.12,21317138.23
2025-06-07,10.12,10.55,10.05,10.38,8094574.04
2025-06-08,10.38,10.56,10.19,10.4,4366554.49
2025-06-09,10.4,10.89,10.26,10.85,9445613.71
2025-06-10,10.85,11.03,10.6,10.97,10212270.73
2025-06-11,10.97,11.15,10.54,10.7,13493995.1
2025-06-12,10.7,10.73,9.901,10.13,8908699.41
2025-06-13,10.13,10.28,9.693,10.22,13026987.12
2025-06-14,10.22,10.7,9.877,10.03,10315547.84
2025-06-15,10.03,10.11,9.811,9.971,5057363.01
2025-06-16,9.971,10.18,9.592,9.655,10698791.31
2025-06-17,9.655,9.834,9.319,9.527,8277467.38
2025-06-18,9.527,9.599,9.11,9.382,8665007.9
2025-06-19,9.382,9.449,9.21,9.36,3323757.74
2025-06-20,9.36,9.458,8.901,9.188,8802767.3
2025-06-21,9.188,9.361,8.591,8.979,5932061.12
2025-06-22,8.979,9.058,8.312,8.738,9899350.5
2025-06-23,8.738,9.339,8.511,9.299,10982922.34
2025-06-24,9.299,9.508,9.152,9.307,10089386.04
2025-06-25,9.307,9.32,8.89,8.949,6609518.38
2025-06-26,8.945,9.105,8.909,8.926,32451509.35
2025-06-27,8.969,9.028,8.909,9.018,759292.98
