date,open,high,low,close,volume
2025-03-29,0.2324,0.2358,0.2317,0.2318,15636378.82
2025-03-30,0.2318,0.2328,0.2296,0.2319,10985075.79
2025-03-31,0.2319,0.2402,0.2311,0.2387,14704967.86
2025-04-01,0.2387,0.2392,0.2332,0.2378,12205968.43
2025-04-02,0.2378,0.2401,0.2322,0.234,19281859.18
2025-04-03,0.234,0.2386,0.2304,0.2382,14247555.97
2025-04-04,0.2382,0.2418,0.2367,0.239,15001014.82
2025-04-05,0.239,0.2393,0.2358,0.2374,7143070.33
2025-04-06,0.2374,0.2401,0.2283,0.2301,14806899.77
2025-04-07,0.2301,0.2322,0.221,0.2287,27882396.06
2025-04-08,0.2287,0.2368,0.2285,0.2306,22932904.49
2025-04-09,0.2306,0.2391,0.2264,0.2385,24106606.6
2025-04-10,0.2385,0.2439,0.2346,0.2364,27180687.81
2025-04-11,0.2364,0.2438,0.2345,0.243,16828048.01
2025-04-12,0.243,0.2506,0.2405,0.246,20780936.37
2025-04-13,0.246,0.2547,0.2457,0.2546,21659813.82
2025-04-14,0.2546,0.2595,0.2515,0.2521,27420155.09
2025-04-15,0.2521,0.2538,0.247,0.2505,21111401.21
2025-04-16,0.2505,0.2552,0.2475,0.2476,23509134.7
2025-04-17,0.2476,0.2505,0.2439,0.2478,25571568.37
2025-04-18,0.2478,0.248,0.2397,0.2398,16688530.21
2025-04-19,0.2398,0.2446,0.2397,0.244,10929238.18
2025-04-20,0.244,0.2468,0.2413,0.2438,14500831.93
2025-04-21,0.2438,0.247,0.241,0.2463,21067414.83
2025-04-22,0.2463,0.2493,0.2437,0.2482,22440122.73
2025-04-23,0.2482,0.2495,0.2434,0.2462,19798019.85
2025-04-24,0.2462,0.2475,0.242,0.2454,16970301.68
2025-04-25,0.2454,0.2458,0.2407,0.2419,16567000.72
2025-04-26,0.2419,0.2532,0.2417,0.252,23203785.16
2025-04-27,0.252,0.2544,0.2453,0.2454,17704082.67
2025-04-28,0.2454,0.2484,0.2434,0.2482,16414347.62
2025-04-29,0.2482,0.2499,0.243,0.2438,15057219.55
2025-04-30,0.2438,0.247,0.2423,0.2464,13075591.78
2025-05-01,0.2464,0.2496,0.2439,0.2447,12411387.04
2025-05-02,0.2447,0.2483,0.2433,0.2478,11396161.08
2025-05-03,0.2478,0.2498,0.2445,0.2456,12106949.31
2025-05-04,0.2456,0.2489,0.245,0.2471,11156215.57
2025-05-05,0.2471,0.2505,0.2461,0.2483,15906497.13
2025-05-06,0.2483,0.2485,0.2438,0.2459,13015159.87
2025-05-07,0.2459,0.2492,0.2435,0.2486,13791191.3
2025-05-08,0.2486,0.2576,0.2485,0.2571,20317726.16
2025-05-09,0.2571,0.266,0.2542,0.2602,42241445.1
2025-05-10,0.2602,0.2667,0.2587,0.2662,35163699.82
2025-05-11,0.2662,0.2687,0.2596,0.2651,31076590.45
2025-05-12,0.2651,0.28,0.2631,0.2717,67695531.87
2025-05-13,0.2717,0.273,0.2608,0.2708,33389546.8
2025-05-14,0.2708,0.2789,0.2691,0.2747,35767957.31
2025-05-15,0.2747,0.2764,0.2673,0.2732,35212808.54
2025-05-16,0.2732,0.2782,0.2706,0.2717,26087916.69
2025-05-17,0.2717,0.2723,0.267,0.2696,19883294.28
2025-05-18,0.2696,0.2746,0.2637,0.268,23136625.67
2025-05-19,0.268,0.268,0.2605,0.2667,22716981.17
2025-05-20,0.2667,0.2755,0.2661,0.2691,29173435.35
2025-05-21,0.2691,0.2743,0.2658,0.2683,28100629.42
2025-05-22,0.2683,0.2821,0.2673,0.2759,39288816.98
2025-05-23,0.2759,0.2762,0.264,0.2687,30500944.4
2025-05-24,0.2687,0.2739,0.2686,0.2703,13784828.64
2025-05-25,0.2703,0.2738,0.2687,0.2723,16409519.26
2025-05-26,0.2723,0.2749,0.2703,0.2739,13526063.11
2025-05-27,0.2739,0.279,0.272,0.2779,17262730.24
2025-05-28,0.2779,0.2797,0.2731,0.2738,15001739.49
2025-05-29,0.2738,0.2782,0.2725,0.2747,17871619.94
2025-05-30,0.2747,0.2763,0.2667,0.267,25406414.08
2025-05-31,0.267,0.2695,0.2632,0.2656,17096648.47
2025-06-01,0.2656,0.2714,0.2649,0.2708,9993429.86
2025-06-02,0.2708,0.2718,0.2659,0.2688,12318259.47
2025-06-03,0.2688,0.272,0.2683,0.2702,10795084.96
2025-06-04,0.2702,0.2748,0.268,0.2744,14388227.88
2025-06-05,0.2744,0.285,0.2661,0.282,27677776.55
2025-06-06,0.282,0.2825,0.2757,0.2779,17306127.1
2025-06-07,0.2779,0.287,0.2773,0.2869,12412871.66
2025-06-08,0.2869,0.2876,0.2815,0.2817,13929906.05
2025-06-09,0.2817,0.2902,0.2809,0.2869,16900540.09
2025-06-10,0.2869,0.2946,0.2857,0.2927,21723271.17
2025-06-11,0.2927,0.2928,0.277,0.2795,30201922.02
2025-06-12,0.2795,0.2795,0.2705,0.2718,28912499
2025-06-13,0.2718,0.2741,0.2669,0.2697,25028721.62
2025-06-14,0.2697,0.2721,0.2686,0.2711,7727527.84
2025-06-15,0.2711,0.2742,0.2702,0.2739,7755314.02
2025-06-16,0.2739,0.2953,0.2699,0.2741,54803499.02
2025-06-17,0.2741,0.2797,0.2714,0.2714,28303428.43
2025-06-18,0.2714,0.2749,0.2676,0.273,15574556.06
2025-06-19,0.273,0.2762,0.2722,0.2748,10011975.67
2025-06-20,0.2748,0.2757,0.2702,0.2723,14421438.65
2025-06-21,0.2723,0.2749,0.2689,0.271,11170014.14
2025-06-22,0.271,0.2738,0.2589,0.2634,32242908.12
2025-06-23,0.2634,0.2736,0.2633,0.2726,22441391.81
2025-06-24,0.2726,0.2747,0.2704,0.2738,12621941.23
2025-06-25,0.2738,0.275,0.2704,0.2732,9997230.91
2025-06-26,0.2732,0.2746,0.2703,0.272,6092177.76
