date,open,high,low,close,volume
2025-03-29,6.173,6.25,5.864,5.955,2747410.72
2025-03-30,5.955,6.06,5.806,5.87,2426934.86
2025-03-31,5.87,6.052,5.74,5.971,5158639
2025-04-01,5.971,6.348,5.961,6.266,4999737.12
2025-04-02,6.266,6.467,5.786,5.834,7913041.01
2025-04-03,5.834,6.068,5.651,5.865,5384650.13
2025-04-04,5.865,6.03,5.656,5.908,9324882.26
2025-04-05,5.908,5.939,5.762,5.863,1424346.53
2025-04-06,5.863,5.897,4.974,5.097,4041211.49
2025-04-07,5.097,5.343,4.604,5.117,12207995.5
2025-04-08,5.117,5.303,4.691,4.772,6056999.89
2025-04-09,4.772,5.494,4.553,5.412,12158732.21
2025-04-10,5.412,5.416,4.845,5.023,6678603.75
2025-04-11,5.023,5.32,4.99,5.234,7238697.89
2025-04-12,5.234,5.578,5.15,5.501,4822855.16
2025-04-13,5.501,5.541,5.261,5.334,4414931.5
2025-04-14,5.334,5.645,5.321,5.345,6450058.9
2025-04-15,5.345,5.453,5.172,5.193,4684041.25
2025-04-16,5.193,5.257,5.025,5.149,5395164.78
2025-04-17,5.149,5.293,5.092,5.18,2679648.39
2025-04-18,5.18,5.236,5.131,5.174,1765862.71
2025-04-19,5.174,5.356,5.17,5.314,1576167.36
2025-04-20,5.314,5.352,5.153,5.249,1587739.48
2025-04-21,5.249,5.506,5.218,5.274,3414846.73
2025-04-22,5.274,5.831,5.185,5.814,8164885.82
2025-04-23,5.814,6.099,5.793,6.036,10031329.54
2025-04-24,6.036,6.056,5.648,5.812,16435045.77
2025-04-25,5.812,5.989,5.694,5.831,23124731.49
2025-04-26,5.831,6.033,5.747,5.815,17510591.98
2025-04-27,5.815,6.001,5.497,5.501,11615256.67
2025-04-28,5.501,5.649,5.33,5.437,23874287.37
2025-04-29,5.437,5.545,5.208,5.276,16757232.07
2025-04-30,5.276,5.397,5.066,5.271,8289248.93
2025-05-01,5.271,5.431,5.239,5.317,15779155.22
2025-05-02,5.317,5.38,5.197,5.247,14612279.51
2025-05-03,5.247,5.265,5.032,5.093,6107750.04
2025-05-04,5.093,5.136,4.966,4.988,4553849.39
2025-05-05,4.988,5.116,4.893,4.975,6393822.89
2025-05-06,4.975,4.989,4.743,4.966,8498248.16
2025-05-07,4.966,5.049,4.747,4.875,7987057.34
2025-05-08,4.875,6.155,4.839,6.151,26558381.94
2025-05-09,6.151,6.698,6,6.359,31262617.19
2025-05-10,6.359,7.577,6.356,7.549,34010429.11
2025-05-11,7.549,7.555,6.722,6.928,23027982.72
2025-05-12,6.928,7.34,6.612,6.891,22291139.28
2025-05-13,6.891,7.362,6.528,7.094,26437513.18
2025-05-14,7.094,7.153,6.536,6.607,28995414.78
2025-05-15,6.607,6.781,6.118,6.225,25110689.36
2025-05-16,6.225,6.464,6.04,6.078,18615038.25
2025-05-17,6.078,6.088,5.65,5.738,13194684.28
2025-05-18,5.738,6.327,5.681,6.13,18931048.16
2025-05-19,6.13,6.172,5.66,5.931,21647846.81
2025-05-20,5.931,6.12,5.699,6.023,25822862.62
2025-05-21,6.023,6.506,5.949,6.214,45786902.57
2025-05-22,6.214,6.589,6.209,6.432,33461254.4
2025-05-23,6.432,6.789,5.938,5.981,27355655.28
2025-05-24,5.981,6.314,5.953,6.118,7357716.96
2025-05-25,6.118,6.176,5.898,6.162,6960991.93
2025-05-26,6.162,6.658,6.119,6.504,20069494.37
2025-05-27,6.504,6.784,6.267,6.328,18809175.39
2025-05-28,6.328,6.981,6.241,6.85,29996797.74
2025-05-29,6.85,7.673,6.537,6.56,41828750.58
2025-05-30,6.56,6.697,6.128,6.207,25492324.03
2025-05-31,6.207,6.228,5.893,6.056,10044296.54
2025-06-01,6.056,6.386,5.888,6.314,13268733.38
2025-06-02,6.314,6.477,6.04,6.446,8719160.32
2025-06-03,6.446,7.077,6.289,6.638,16338278.18
2025-06-04,6.638,6.847,6.264,6.312,13531926.88
2025-06-05,6.312,6.471,5.802,5.904,9691613.47
2025-06-06,5.904,6.159,5.831,5.994,5534363.78
2025-06-07,5.994,6.42,5.969,6.353,7851791.97
2025-06-08,6.353,6.457,6.212,6.325,6688771.23
2025-06-09,6.325,6.881,6.21,6.847,7640121.37
2025-06-10,6.847,8.677,6.831,8.665,46762993.96
2025-06-11,8.665,8.673,7.961,8.159,24834321.87
2025-06-12,8.159,8.245,7.487,7.491,15150459.32
2025-06-13,7.491,7.777,6.796,7.766,25254351.36
2025-06-14,7.766,7.767,7.11,7.304,5981234.23
2025-06-15,7.304,7.478,6.973,7.179,4861683.15
2025-06-16,7.179,7.974,7.021,7.448,22128070.77
2025-06-17,7.448,7.872,7.266,7.437,16076779.28
2025-06-18,7.437,7.795,7.132,7.585,17842695.88
2025-06-19,7.585,7.951,7.467,7.683,12347663.63
2025-06-20,7.683,7.993,7.001,7.071,25904359.76
2025-06-21,7.071,7.13,6.224,6.469,16972647.62
2025-06-22,6.469,6.613,5.926,6.261,12591738.35
2025-06-23,6.261,6.924,6.029,6.804,15155677.25
2025-06-24,6.804,7.166,6.721,7.061,12856251.54
2025-06-25,7.061,7.366,6.867,6.979,10849755.37
2025-06-26,6.978,7.327,6.916,6.968,75013752.97
