date,open,high,low,close,volume
2025-03-30,28.26,28.43,27.93,28.23,1048394.96
2025-03-31,28.23,28.57,27.82,28.17,4024505.46
2025-04-01,28.17,29.1,28.02,28.15,5225012.65
2025-04-02,28.15,27.64,26.23,27.58,10393030.74
2025-04-03,27.58,28.22,27.54,27.66,7656828.95
2025-04-04,27.66,28.32,27.38,27.55,10853069.85
2025-04-05,27.55,28.41,27.33,28.1,2436296.88
2025-04-06,28.1,27.94,26.32,27.55,7664488.99
2025-04-07,27.55,29.22,27.45,27.93,20579002.05
2025-04-08,27.93,27.64,26.45,27.55,8444434.95
2025-04-09,27.55,30.33,27.84,28.09,15530942.92
2025-04-10,28.09,28.1,26.99,27.82,8384586.42
2025-04-11,27.82,29.27,27.77,27.94,7866802.84
2025-04-12,27.94,28.77,27.63,27.73,4177693.12
2025-04-13,27.73,27.93,27.07,27.73,5234898.27
2025-04-14,27.73,28.04,27.45,27.77,6178471.19
2025-04-15,27.77,27.65,26.96,27.64,3874128.72
2025-04-16,27.64,27.96,27.37,27.71,5144411.42
2025-04-17,27.71,28.11,27.67,27.85,2718740.12
2025-04-18,28.01,28.06,27.95,28.04,816370.71
2025-04-19,28.04,28.25,28.01,28.11,1052247.25
2025-04-20,28.11,28.2,28.05,28.16,852270.57
2025-04-21,28,28.78,27.89,28.24,6024632
2025-04-22,28.24,30.3,28.4,28.51,6415419.77
2025-04-23,28.66,28.88,28.49,28.8,3124605.25
2025-04-24,28.8,28.92,28.65,28.92,2141743.2
2025-04-25,28.92,29.27,28.89,29.17,2719427.95
2025-04-26,29.17,29.47,29.16,29.44,1382005.68
2025-04-27,29.44,29.53,29.22,29.28,1196304.23
2025-04-28,29.28,29.53,29.21,29.52,2694601.36
2025-04-29,29.52,29.61,29.1,29.16,3004582.08
2025-04-30,29.16,29.33,28.99,29.02,1957486.25
2025-05-01,29.02,29.56,29.01,29.4,2090645.71
2025-05-02,29.4,29.46,29.05,29.09,2492519.18
2025-05-03,29.09,29.11,28.91,28.94,1227503.37
2025-05-04,28.94,28.97,28.57,28.59,1546483.72
2025-05-05,28.59,28.77,28.54,28.71,2645516.43
2025-05-06,28.71,28.76,28.34,28.44,3205792.32
2025-05-07,28.44,28.96,28.2,28.7,3547004.36
2025-05-08,28.7,30.67,28.64,30.56,5722456.65
2025-05-09,30.56,30.62,30.25,30.44,4817176.77
2025-05-10,30.44,30.58,30.26,30.37,2958655.84
2025-05-11,30.37,30.52,30.2,30.3,3711778.69
2025-05-12,30.3,30.57,30.21,30.34,5598963.56
2025-05-13,30.34,30.44,30.23,30.33,4380463.57
2025-05-14,30.33,30.5,30.18,30.48,3484011.4
2025-05-15,30.48,30.55,30.28,30.38,4593817.93
2025-05-16,30.38,30.5,30.24,30.25,3202678.8
2025-05-17,30.25,30.34,30.19,30.26,2227320.55
2025-05-18,30.26,30.66,30.25,30.43,3636543.51
2025-05-19,30.43,30.52,30.1,30.35,5690930.68
2025-05-20,30.35,30.46,30.22,30.37,4850821.11
2025-05-21,30.37,30.72,30.2,30.28,7497012.96
2025-05-22,30.28,32.21,30.22,32.02,7931880.07
2025-05-23,32.02,32.23,31.8,31.87,7679097.17
2025-05-24,31.71,31.89,31.29,31.73,6055928.85
2025-05-25,31.87,32.48,31.76,32.42,3873414.84
2025-05-26,32.42,32.55,32.16,32.22,3230797.23
2025-05-27,32.22,32.26,31.9,31.95,4149617.95
2025-05-28,31.95,32,31.48,31.68,3186792.57
2025-05-29,31.68,31.71,31.17,31.2,4662993.97
2025-05-30,31.2,31.72,31.07,31.32,5711859.31
2025-05-31,31.32,31.36,31.1,31.3,2666378.37
2025-06-01,31.3,31.33,31.09,31.28,2017112.94
2025-06-02,31.28,31.48,31.04,31.48,3503043.57
2025-06-03,31.48,31.65,31.36,31.45,2437564.93
2025-06-04,31.45,31.52,31.35,31.38,1968420.15
2025-06-05,31.38,31.64,30.96,31.03,4016279.83
2025-06-06,31.03,31.67,30.99,31.46,2032226.51
2025-06-07,31.46,31.67,31.4,31.49,2096398.67
2025-06-08,31.49,31.51,31.32,31.33,1312226.68
2025-06-09,31.33,31.94,31.31,31.87,2445120.1
2025-06-10,31.87,31.87,31.41,31.51,2474215.93
2025-06-11,31.51,32.23,31.35,32.2,2889087.42
2025-06-12,32.2,35.06,32.12,34.16,5469828.1
2025-06-13,34.16,37.94,33.65,37.93,8491725.73
2025-06-14,37.93,40.32,37.93,40.27,4181464.65
2025-06-15,40.27,40.38,38.82,39.82,3363940.37
2025-06-16,39.82,52.98,39.7,51.81,6955475.32
2025-06-17,51.81,51.89,47.63,48.32,10449843.24
2025-06-18,48.32,49.57,47.51,49.53,5817359.9
2025-06-19,49.53,49.84,49.38,49.53,3340102.94
2025-06-20,49.53,49.89,49.02,49.17,3529252.33
2025-06-21,49.17,49.3,48.56,48.73,2880232.23
2025-06-22,48.73,48.82,48.11,48.4,7108442.4
2025-06-23,48.4,48.55,47.54,48.1,6557618.45
2025-06-24,48.1,48.75,47.96,48.29,4482871.02
2025-06-25,48.29,48.33,48.07,48.14,3343421.68
2025-06-26,48.14,48.25,47.59,47.62,1227386.51
2025-06-27,47.85,47.91,47.74,47.87,117249.44
