date,open,high,low,close,volume
2025-03-29,84294.18,82625.65,82518.24,82559.55,11691257.8
2025-03-30,82559.55,82354.8,82264.18,82305.37,11909586.81
2025-03-31,82305.37,82539.52,82423.96,82473.49,32756820.12
2025-04-01,82473.49,85166.44,85047.2,85089.79,15025154.24
2025-04-02,85089.79,82573.07,82375.09,82408.09,44546516.82
2025-04-03,82408.09,83133.85,83059.01,83075.64,24356947.24
2025-04-04,83075.64,83835.05,83767.96,83818.28,22247886.03
2025-04-05,83818.28,83469.97,83403.17,83428.22,22475561.65
2025-04-06,83428.22,78318.55,78177.49,78177.49,37382131.65
2025-04-07,78177.49,79063.92,78953.12,79040.17,82968470.67
2025-04-08,79040.17,76201.72,76148.34,76194.1,16739080.93
2025-04-09,76194.1,82570.51,82446.63,82545.74,65391906.99
2025-04-10,82545.74,79554.96,79491.32,79554.96,28066194.34
2025-04-11,79554.96,83469.39,83302.61,83344.31,25946749.66
2025-04-12,83344.31,85272.12,85229.48,85263.59,11544690.46
2025-04-13,85263.59,83730.92,83714.17,83730.92,14504707.27
2025-04-14,83730.92,84575.75,84415.06,84516.55,62085855.41
2025-04-15,84516.55,83638.17,83546.17,83621.44,28339306.82
2025-04-16,83621.44,84113.43,83995.79,84029.4,32310984.89
2025-04-17,84029.4,84943.42,84917.94,84926.43,15798014.75
2025-04-18,84926.43,84713.34,84434.62,84434.62,4393977.73
2025-04-19,84434.62,85146.6,85027.52,85036.02,7563954.12
2025-04-20,85036.02,85167.14,85047.91,85133.07,5297831.14
2025-04-21,85133.07,87506.82,87445.56,87498.07,20221678.24
2025-04-22,87498.07,93464.6,93408.51,93427.21,26373567.12
2025-04-23,93427.21,93729.23,93663.62,93682.37,27713117.33
2025-04-24,93682.37,94013.08,93947.26,93966.07,23930338.16
2025-04-25,93966.07,94673.36,94635.47,94644.94,29766780.75
2025-04-26,94644.94,94644.73,94587.93,94616.33,18692401.79
2025-04-27,94616.33,93777.44,93711.8,93730.55,9601757.67
2025-04-28,93730.55,95016.05,94968.54,94978.04,20862876.04
2025-04-29,94978.04,94274.16,94208.17,94227.02,14583516.34
2025-04-30,94227.02,94176.72,94129.63,94148.47,27034731.88
2025-05-01,94148.47,96509.66,96471.05,96480.7,33979538.53
2025-05-02,96480.7,96905.68,96818.45,96895.99,18274584.18
2025-05-03,96895.99,95883.96,95797.65,95874.37,17992742.84
2025-05-04,95874.37,94384.65,94328.01,94375.21,11259906.45
2025-05-05,94375.21,94767.95,94720.57,94749,24264270.49
2025-05-06,94749,96835.87,96777.77,96777.77,28231042.84
2025-05-07,96777.77,97052.27,96994.04,97013.45,41661455.58
2025-05-08,97013.45,103259,103197.04,103238.35,50290496.56
