date,open,high,low,close,volume
2025-03-30,1948.31,1928.58,1905.08,1926.77,26974.83
2025-03-31,1926.77,1944.22,1924.18,1942.4,108755.05
2025-04-01,1942.4,2030.98,2015.73,2027.16,25177.39
2025-04-02,2027.16,1913.08,1905.9,1909.49,65724.52
2025-04-03,1909.49,1936.19,1925.29,1925.29,56295.44
2025-04-04,1925.29,1936.12,1925.23,1936.12,49971.32
2025-04-05,1936.12,1924.33,1918.92,1918.92,44806.71
2025-04-06,1918.92,1685.49,1679.17,1685.49,82336.02
2025-04-07,1685.49,1656.43,1645.57,1654.88,86947.38
2025-04-08,1654.88,1569.31,1561.95,1569.31,28718.41
2025-04-09,1569.31,1779.15,1765.8,1774.15,32786.24
2025-04-10,1774.15,1623.45,1611.28,1621.93,41278.11
2025-04-11,1621.93,1669.38,1653.72,1669.38,21818.76
2025-04-12,1669.38,1753.98,1739.18,1753.98,55846.64
2025-04-13,1753.98,1704.19,1699.4,1701,28304.59
2025-04-14,1701,1732.58,1727.71,1729.34,18261.79
2025-04-15,1729.34,1695.14,1687.2,1688.79,119718.19
2025-04-16,1688.79,1682.92,1667.14,1679.76,61462.44
2025-04-17,1679.76,1689.79,1680.28,1681.87,26607.15
2025-04-18,1681.87,1694.99,1685.46,1693.4,19372.55
2025-04-19,1693.4,1720.79,1714.34,1717.57,30864.7
2025-04-20,1717.57,1693.66,1673.02,1674.61,51929.72
2025-04-21,1674.61,1685.54,1666.58,1683.96,33409.77
2025-04-22,1683.96,1874.76,1757.04,1757.04,57666.05
2025-04-23,1757.04,1916.19,1795.87,1910.81,39056.87
2025-04-24,1910.81,1887.29,1876.67,1880.21,39202.32
2025-04-25,1880.21,1903.81,1894.88,1898.45,108496.66
2025-04-26,1898.45,1941.67,1936.2,1939.84,23239.33
2025-04-27,1939.84,1910.11,1899.36,1902.94,43958.02
2025-04-28,1902.94,1917.2,1911.8,1915.4,29861.12
2025-04-29,1915.4,1918.97,1911.77,1918.97,50891.02
2025-04-30,1918.97,1914.02,1901.46,1914.02,30719.97
2025-05-01,1914.02,1967.55,1958.35,1962.03,66218.57
2025-05-02,1962.03,1971.84,1958.94,1962.62,14862.96
2025-05-03,1962.62,1960.49,1951.32,1958.66,16135.43
2025-05-04,1958.66,1935.63,1922.97,1924.78,47157.01
2025-05-05,1924.78,1947.45,1936.53,1938.35,25140.44
2025-05-06,1938.35,1942.35,1935.08,1942.35,26804.45
2025-05-07,1942.35,1938.13,1929.08,1929.08,14498.94
2025-05-08,1929.08,2359.49,2344.04,2352.86,68374.24
2025-05-09,2352.86,2504.8,2490.73,2493.08,21036.57
2025-05-10,2493.08,2759.47,2741.38,2759.47,123706.88
2025-05-11,2759.47,2685.75,2658.09,2683.24,36706.7
2025-05-12,2683.24,2662.76,2640.3,2657.77,51826.54
2025-05-13,2657.77,2859.6,2843.52,2846.2,64124.94
2025-05-14,2846.2,2784.94,2769.28,2777.11,21006.09
2025-05-15,2777.11,2719.78,2701.94,2712.14,21002.78
2025-05-16,2712.14,2707.81,2692.58,2707.81,27457.21
2025-05-17,2707.81,2642.06,2634.63,2634.63,93476.82
2025-05-18,2634.63,2666.13,2658.64,2661.14,105088.29
2025-05-19,2661.14,2708.19,2690.49,2695.55,87255
2025-05-20,2695.55,2701.86,2681.66,2694.28,80909.28
2025-05-21,2694.28,2723.21,2710.45,2713,32637.38
2025-05-22,2713,2841,2819.68,2825.01,98027.71
2025-05-23,2825.01,2698.73,2665.88,2686.09,172581.58
2025-05-24,2686.09,2700.49,2687.84,2700.49,145556.5
2025-05-25,2700.49,2723.23,2713.02,2723.23,138911.93
2025-05-26,2723.23,2736.29,2726.03,2736.29,37706.07
2025-05-27,2736.29,2840.35,2835.03,2840.35,19709.22
2025-05-28,2840.35,2861.8,2856.44,2861.8,19039.56
2025-05-29,2861.8,2808.15,2800.26,2808.15,32041.01
2025-05-30,2808.15,2701.42,2691.29,2691.29,11822.85
2025-05-31,2691.29,2701.31,2686.14,2696.26,81831.34
2025-06-01,2696.26,2715.74,2703.04,2705.58,45967.79
2025-06-02,2705.58,2789.1,2776.05,2781.27,13316.71
2025-06-03,2781.27,2794.69,2760.95,2763.55,47892.27
2025-06-04,2763.55,2785.64,2777.82,2777.82,42111.72
2025-06-05,2777.82,2580.13,2568.05,2572.88,3795
2025-06-06,2572.88,2649.31,2639.4,2649.31,4532.98
2025-06-07,2649.31,2700.48,2682.79,2690.37,45386.56
2025-06-08,2690.37,2684.02,2671.47,2679,11734.03
2025-06-09,2679,2866.28,2858.23,2860.92,382.5
2025-06-10,2860.92,3007.65,3002.02,3002.02,18081.14
2025-06-11,3002.02,2961.1,2947.24,2950.01,12044.91
2025-06-12,2950.01,2829.63,2805.83,2808.47,12688.67
2025-06-13,2808.47,2758.29,2717,2747.97,249735.17
2025-06-14,2747.97,2707.51,2694.85,2704.98,99516.1
2025-06-15,2704.98,2724.25,2706.41,2711.51,4856.31
2025-06-16,2711.51,2723.4,2703.03,2720.85,11775.84
