date,open,high,low,close,volume
2025-03-29,1399.72,1400,1400,1400,0
2025-03-30,1400,1401.4,1401.4,1401.4,0
2025-03-31,1401.4,1399.86,1399.86,1399.86,0
2025-04-01,1399.86,1400,1400,1400,0
2025-04-02,1400,1399.72,1399.72,1399.72,0
2025-04-03,1399.72,1399.58,1399.58,1399.58,0
2025-04-04,1399.58,1399.58,1399.58,1399.58,0
2025-04-05,1399.58,1399.72,1399.72,1399.72,0
2025-04-06,1399.72,1399.3,1399.3,1399.3,0
2025-04-07,1399.3,1399.44,1399.44,1399.44,0
2025-04-08,1399.44,1398.88,1398.88,1398.88,0
2025-04-09,1398.88,1399.58,1399.58,1399.58,0
2025-04-10,1399.58,1399.02,1399.02,1399.02,0
2025-04-11,1399.02,1399.3,1399.3,1399.3,0
2025-04-12,1399.3,1399.86,1399.86,1399.86,0
2025-04-13,1399.86,1399.58,1399.58,1399.58,0
2025-04-14,1399.58,1399.86,1399.86,1399.86,0
2025-04-15,1399.86,1399.86,1399.86,1399.86,0
2025-04-16,1399.86,1400,1400,1400,0
2025-04-17,1400,1399.58,1399.58,1399.58,0
2025-04-18,1399.58,1399.44,1399.44,1399.44,0
2025-04-19,1399.44,1399.58,1399.58,1399.58,0
2025-04-20,1399.58,1399.58,1399.58,1399.58,0
2025-04-21,1399.58,1399.86,1399.86,1399.86,0
2025-04-22,1399.86,1400,1400,1400,0
2025-04-23,1400,1400,1400,1400,0
2025-04-24,1400,1400,1400,1400,0
2025-04-25,1400,1401.4,1401.4,1401.4,0
2025-04-26,1401.4,1400,1400,1400,0
2025-04-27,1400,1400,1400,1400,0
2025-04-28,1400,1400,1400,1400,0
2025-04-29,1400,1400,1400,1400,0
2025-04-30,1400,1400,1400,1400,0
2025-05-01,1400,1400,1400,1400,0
2025-05-02,1400,1400,1400,1400,0
2025-05-03,1400,1401.4,1401.4,1401.4,0
2025-05-04,1401.4,1402.8,1402.8,1402.8,0
2025-05-05,1402.8,1401.4,1401.4,1401.4,0
2025-05-06,1401.4,1400,1400,1400,0
2025-05-07,1400,1400,1400,1400,0
2025-05-08,1400,1400,1400,1400,0
2025-05-09,1400,1400,1400,1400,0
2025-05-10,1400,1399.86,1399.86,1399.86,0
2025-05-11,1399.86,1400,1400,1400,0
2025-05-12,1400,1400,1400,1400,0
2025-05-13,1400,1400,1400,1400,0
2025-05-14,1400,1400,1400,1400,0
2025-05-15,1400,1400,1400,1400,0
2025-05-16,1400,1400,1400,1400,0
2025-05-17,1400,1400,1400,1400,0
2025-05-18,1400,1400,1400,1400,0
2025-05-19,1400,1400,1400,1400,0
2025-05-20,1400,1400,1400,1400,0
2025-05-21,1400,1400,1400,1400,0
2025-05-22,1400,1399.86,1399.86,1399.86,0
2025-05-23,1399.86,1399.86,1399.86,1399.86,0
2025-05-24,1399.86,1398.74,1398.74,1398.74,0
2025-05-25,1398.74,1400,1400,1400,0
2025-05-26,1400,1400,1400,1400,0
2025-05-27,1400,1400,1400,1400,0
2025-05-28,1400,1400,1400,1400,0
2025-05-29,1400,1400,1400,1400,0
2025-05-30,1400,1400,1400,1400,0
2025-05-31,1400,1400,1400,1400,0
2025-06-01,1400,1400,1400,1400,0
2025-06-02,1400,1400,1400,1400,0
2025-06-03,1400,1400,1400,1400,0
2025-06-04,1400,1400,1400,1400,0
2025-06-05,1400,1401.4,1401.4,1401.4,0
2025-06-06,1401.4,1401.4,1401.4,1401.4,0
2025-06-07,1401.4,1400,1400,1400,0
2025-06-08,1400,1400,1400,1400,0
2025-06-09,1400,1400,1400,1400,0
2025-06-10,1400,1399.72,1399.72,1399.72,0
2025-06-11,1399.72,1400,1400,1400,0
2025-06-12,1400,1400,1400,1400,0
2025-06-13,1400,1400,1400,1400,0
2025-06-14,1400,1400,1400,1400,0
2025-06-15,1400,1400,1400,1400,0
2025-06-16,1400,1400,1400,1400,0
2025-06-17,1400,1400,1400,1400,0
2025-06-18,1400,1401.4,1401.4,1401.4,0
2025-06-19,1401.4,1400,1400,1400,0
2025-06-20,1400,1400,1400,1400,0
2025-06-21,1400,1400,1400,1400,0
2025-06-22,1400,1401.4,1401.4,1401.4,0
2025-06-23,1401.4,1401.4,1401.4,1401.4,0
2025-06-24,1401.4,1400,1400,1400,0
2025-06-25,1400,1401.4,1401.4,1401.4,0
2025-06-26,1401.4,1401.4,1400.5,1400.53,0
