date,open,high,low,close,volume
2025-03-29,0.2745,0.2768,0.2618,0.2672,13750266.64
2025-03-30,0.2672,0.2724,0.2632,0.2667,11626316.39
2025-03-31,0.2667,0.2698,0.2584,0.2639,20450740.72
2025-04-01,0.2639,0.2792,0.2619,0.272,19557146.77
2025-04-02,0.272,0.2779,0.2543,0.2581,30220887.94
2025-04-03,0.2581,0.267,0.25,0.261,19051582.86
2025-04-04,0.261,0.2649,0.2533,0.2595,19124409.3
2025-04-05,0.2595,0.2614,0.2485,0.2524,11838543.92
2025-04-06,0.2524,0.2541,0.223,0.2261,25455092.63
2025-04-07,0.2261,0.2445,0.2001,0.232,40639276.94
2025-04-08,0.232,0.2414,0.2197,0.221,22587183.18
2025-04-09,0.221,0.2459,0.2133,0.2422,35627625.49
2025-04-10,0.2422,0.2424,0.2244,0.2302,21502282.39
2025-04-11,0.2302,0.2377,0.2292,0.2338,22737648.75
2025-04-12,0.2338,0.249,0.2329,0.2462,16038282.43
2025-04-13,0.2462,0.2522,0.2349,0.238,25413434.99
2025-04-14,0.238,0.2472,0.237,0.2399,19900134.89
2025-04-15,0.2399,0.2451,0.2353,0.2355,17703162.63
2025-04-16,0.2355,0.2396,0.2306,0.2358,19994292.92
2025-04-17,0.2358,0.2421,0.2344,0.2394,16778514.14
2025-04-18,0.2394,0.2446,0.2381,0.24,11230390.64
2025-04-19,0.24,0.2494,0.2397,0.2461,10778117.6
2025-04-20,0.2461,0.2475,0.2385,0.2435,14436473.23
2025-04-21,0.2435,0.2625,0.2435,0.2502,34127836.38
2025-04-22,0.2502,0.2678,0.2438,0.2652,36064821.95
2025-04-23,0.2652,0.2752,0.2636,0.2665,34842502.41
2025-04-24,0.2665,0.2837,0.2589,0.2811,35443358
2025-04-25,0.2811,0.2915,0.2744,0.2837,33010274.78
2025-04-26,0.2837,0.2975,0.2837,0.2908,27544207.93
2025-04-27,0.2908,0.2944,0.2808,0.2843,38175455.77
2025-04-28,0.2843,0.2943,0.2786,0.2825,37453219.57
2025-04-29,0.2825,0.2851,0.2753,0.2778,20687089.37
2025-04-30,0.2778,0.2819,0.268,0.2711,25006742.43
2025-05-01,0.2711,0.2805,0.2703,0.2737,25636334.55
2025-05-02,0.2737,0.2797,0.2708,0.2747,22100205.65
2025-05-03,0.2747,0.2758,0.268,0.2692,14508071.25
2025-05-04,0.2692,0.2736,0.265,0.2655,16613895.2
2025-05-05,0.2655,0.2703,0.2563,0.2584,30030686.17
2025-05-06,0.2584,0.2631,0.252,0.2628,23968673.55
2025-05-07,0.2628,0.2644,0.2565,0.2603,16439832.68
2025-05-08,0.2603,0.2915,0.2589,0.2912,52671785.54
2025-05-09,0.2912,0.3066,0.2894,0.2953,71342529.81
2025-05-10,0.2953,0.3216,0.2937,0.3216,49480248.03
2025-05-11,0.3216,0.3247,0.3008,0.3063,40146443.05
2025-05-12,0.3063,0.3344,0.3056,0.3126,99021862.87
2025-05-13,0.3126,0.3182,0.2975,0.3141,48860794.99
2025-05-14,0.3141,0.318,0.3009,0.3038,42114711.53
2025-05-15,0.3038,0.308,0.287,0.2932,49993877.67
2025-05-16,0.2932,0.301,0.2891,0.2931,30311979.27
2025-05-17,0.2931,0.2942,0.2817,0.2866,27586887.88
2025-05-18,0.2866,0.2976,0.2818,0.2926,38812879.76
2025-05-19,0.2926,0.2941,0.277,0.2867,39715108.51
2025-05-20,0.2867,0.2897,0.2801,0.2877,33766128.61
