date,open,high,low,close,volume
2025-03-30,214.94,221.6,211.11,217.8,1502548.28
2025-03-31,217.98,218.78,214.01,215.16,1943753.09
2025-04-01,215.16,219.82,214.33,216.66,1027724.77
2025-04-02,216.66,222.31,213.12,214.85,1876502.81
2025-04-03,214.85,218.3,207.9,215.53,1991633.73
2025-04-04,215.53,219.04,213.04,215.13,1607170.83
2025-04-05,215.13,219.1,211.1,213.17,970836.1
2025-04-06,213.17,216.03,195.91,199.07,1442844.82
2025-04-07,199.07,204.84,171.25,203.56,4344246.83
2025-04-08,203.56,209.22,194.52,194.58,1309745.24
2025-04-09,194.58,205.32,192.04,202.59,2027133.12
2025-04-10,202.59,205.08,197.34,201,1842250.4
2025-04-11,201,206.95,200.06,206.64,1155362.83
2025-04-12,206.64,209.98,204.77,207.56,1217253.69
2025-04-13,207.29,210.83,200.29,203.16,2365488.23
2025-04-14,203.21,217.22,203.21,214.86,2423314.18
2025-04-15,214.86,216.97,210.74,215.85,1279033.61
2025-04-16,215.85,220.78,215.16,218.81,1730871.6
2025-04-17,218.81,219.75,215.42,217.19,1519718.98
2025-04-18,217.19,219.93,214.8,215.74,979862.73
2025-04-19,216.04,220.3,209.49,217.07,4272212.31
2025-04-20,217.07,220.95,210.32,214.45,6056914.65
2025-04-21,214.45,217.52,204.73,215.47,5973526.3
2025-04-22,215.72,227.12,214.93,226.95,2588327.38
2025-04-23,226.95,231.31,224.59,230.32,2408526.01
2025-04-24,230.32,230.86,221.58,227.73,1163491.72
2025-04-25,227.73,231.04,226.97,227.98,1235726.07
2025-04-26,228.24,234.6,226.41,230.6,2201196.13
2025-04-27,230.47,234.79,227.59,234.51,1075298.09
2025-04-28,234.51,328.23,234.13,258.88,24891561.52
2025-04-29,258.88,279.89,258.13,269.69,6938315.4
2025-04-30,269.69,282.18,266.75,278.97,3250980.62
2025-05-01,278.97,289.48,270.29,271.33,3731004.05
2025-05-02,271.33,292.27,270.27,281.97,5092639.64
2025-05-03,281.97,286.28,269.92,278.11,3631368.37
2025-05-04,278.11,282.08,265.31,280.68,3546817.85
2025-05-05,280.68,282.22,270.47,282,3064499.58
2025-05-06,282,291.62,273.62,287.83,3143794.76
2025-05-07,287.83,291.81,278.53,283.19,4262828.63
2025-05-08,283.19,303.69,280.97,299.23,4541173.9
2025-05-09,299.23,316.6,295.16,316.6,5836495.82
2025-05-10,316.6,333.14,309.66,325.83,3550478.43
2025-05-11,325.83,343.49,317.97,332.07,3567979.55
2025-05-12,332.07,350.71,330.18,337.38,4271205.09
2025-05-13,337.38,346.01,332.04,341.82,5010280.11
2025-05-14,341.82,348.96,336.98,340.5,3991335.59
2025-05-15,340.5,349.12,327.63,335.57,3721594.63
2025-05-16,335.57,343.13,331.58,333.9,1833666.6
2025-05-17,333.9,340,332.66,336.7,1263833.26
2025-05-18,336.7,345.25,335.25,337.84,1596077.03
2025-05-19,337.84,345.94,335.98,343.14,1557879.06
2025-05-20,343.14,356.62,342.98,351.93,2239676.03
2025-05-21,351.93,403.43,349.88,396.63,9966420.09
2025-05-22,395.8,412.81,384.66,386.78,10894069.32
2025-05-23,386.78,399.6,362.89,391.98,11540092.69
2025-05-24,391.56,406.84,384.49,403.63,5212769.39
2025-05-25,403.63,417.97,395.48,417.95,4550459.47
2025-05-26,417.95,420.02,390.35,402.07,6306384.8
2025-05-27,402.07,404.09,370,371.86,7276904.35
2025-05-28,371.86,371.86,320.91,346.75,11657268.33
2025-05-29,346.75,351.29,333.51,338.62,6273354.79
2025-05-30,338.62,341.67,325.13,325.44,5209194.26
2025-05-31,325.44,331.04,313.48,325.37,7048711.96
2025-06-01,325.37,350.03,318.29,348.04,3253398.74
2025-06-02,348.04,369.17,340.16,358.44,5456342.78
2025-06-03,358.44,370.85,341.34,344.28,3559842.43
2025-06-04,344.28,352.73,301.55,312.95,4147616.33
2025-06-05,312.95,338.73,309.64,316.91,4775122.55
2025-06-06,316.91,339.73,315.35,322.6,2655480.79
2025-06-07,323.09,333.04,323.11,327.54,2577101.82
2025-06-08,328.01,336.52,323.99,326.78,1634793.88
2025-06-09,326.78,335.43,324.32,333.41,1721988.74
2025-06-10,333.55,343.9,331.99,338.83,4484373.42
2025-06-11,338.27,344.95,325.13,330.46,2409994.11
2025-06-12,330.46,331.76,314.88,318.68,2253147.44
2025-06-13,318.68,323.61,300,312.85,3030756.94
2025-06-14,312.85,318.6,306.98,312.46,1314569.11
2025-06-15,312.46,319.11,310.78,314.92,1042307.27
2025-06-16,314.73,323.24,304.15,321.97,6763270.93
2025-06-17,321.74,331.05,312.44,319.86,4554743.4
2025-06-18,319.69,333.76,314.22,315.95,3920613.54
2025-06-19,315.95,323.44,301.99,310.74,4555142.09
2025-06-20,310.74,319,303.92,310.6,2012543.87
2025-06-21,310.35,313.96,306.09,309.26,2612132.88
2025-06-22,308.6,313.83,288.93,298.53,3608899.94
2025-06-23,298.53,313.36,291.94,311.95,2966318.47
2025-06-24,311.95,319.83,305.58,314.57,3303550.55
2025-06-25,314.47,323.49,310.6,311.89,4186489.42
2025-06-26,311.75,320.23,308.31,316.11,16146614.54
2025-06-27,311.74,312.88,310.61,312.04,1464409.59
