date,open,high,low,close,volume
2025-03-29,2.206,2.225,2.06,2.134,482474391.34
2025-03-30,2.134,2.214,2.108,2.137,314278048.39
2025-03-31,2.137,2.14,2.024,2.089,543840735.24
2025-04-01,2.089,2.199,2.065,2.139,465178961.66
2025-04-02,2.139,2.233,1.985,2.023,653577326.91
2025-04-03,2.023,2.082,1.96,2.064,493409804.22
2025-04-04,2.064,2.158,2.016,2.129,515137356.85
2025-04-05,2.129,2.176,2.113,2.143,172215822.56
2025-04-06,2.143,2.158,1.86,1.921,568225630.77
2025-04-07,1.921,2.008,1.614,1.898,1510344361.93
2025-04-08,1.898,1.974,1.776,1.795,722191582.66
2025-04-09,1.795,2.089,1.721,2.052,1056201997.48
2025-04-10,2.052,2.056,1.922,1.965,510160139.11
2025-04-11,1.965,2.064,1.946,2.022,366356646.98
2025-04-12,2.022,2.185,2.003,2.159,332401072.94
2025-04-13,2.159,2.246,2.08,2.119,437634320.29
2025-04-14,2.119,2.179,2.104,2.127,317480082.3
2025-04-15,2.127,2.185,2.083,2.084,317467318.89
2025-04-16,2.084,2.125,2.036,2.083,363661242.46
2025-04-17,2.083,2.114,2.052,2.067,263084589.96
2025-04-18,2.067,2.089,2.044,2.062,176030362.2
2025-04-19,2.062,2.097,2.059,2.087,123368597.1
2025-04-20,2.087,2.094,2.039,2.078,135480612.63
2025-04-21,2.078,2.141,2.06,2.085,255085141.22
2025-04-22,2.085,2.25,2.065,2.215,405065686.8
2025-04-23,2.215,2.301,2.191,2.219,504246251.17
2025-04-24,2.219,2.235,2.119,2.206,395242198.52
2025-04-25,2.206,2.22,2.165,2.183,300315877.58
2025-04-26,2.183,2.249,2.181,2.192,159480226.42
2025-04-27,2.192,2.295,2.161,2.253,328139089.21
2025-04-28,2.253,2.361,2.22,2.295,418040932.98
2025-04-29,2.295,2.315,2.222,2.239,304111877.73
2025-04-30,2.239,2.259,2.125,2.191,345692342.85
2025-05-01,2.191,2.258,2.187,2.213,225147428.14
2025-05-02,2.213,2.242,2.193,2.21,191777696.2
2025-05-03,2.21,2.22,2.177,2.188,109982968.75
2025-05-04,2.188,2.219,2.152,2.157,111401080.7
2025-05-05,2.157,2.2,2.107,2.131,234268941.69
2025-05-06,2.131,2.159,2.078,2.155,238817333.14
2025-05-07,2.155,2.172,2.105,2.127,175057733.31
2025-05-08,2.127,2.329,2.118,2.327,476306157.41
2025-05-09,2.327,2.428,2.287,2.344,521321599.95
2025-05-10,2.344,2.476,2.336,2.471,356301686.98
2025-05-11,2.471,2.482,2.329,2.368,321831236.64
2025-05-12,2.368,2.656,2.352,2.544,1024265585.79
2025-05-13,2.544,2.607,2.422,2.583,616319887.76
2025-05-14,2.583,2.65,2.52,2.551,512098766.47
2025-05-15,2.551,2.572,2.355,2.386,522527452.5
2025-05-16,2.386,2.441,2.348,2.381,381180631.11
2025-05-17,2.381,2.39,2.3,2.354,298566926.78
2025-05-18,2.354,2.45,2.334,2.429,281940628.99
2025-05-19,2.429,2.44,2.284,2.381,368208095.08
2025-05-20,2.381,2.409,2.316,2.357,275474494.38
2025-05-21,2.357,2.43,2.332,2.396,394578202.84
2025-05-22,2.396,2.456,2.389,2.431,324529218.97
2025-05-23,2.431,2.48,2.285,2.297,414259892.79
2025-05-24,2.297,2.36,2.287,2.331,118531272.58
2025-05-25,2.331,2.345,2.267,2.343,204862227.77
2025-05-26,2.343,2.36,2.297,2.311,172721556.25
2025-05-27,2.311,2.355,2.269,2.318,204786932.6
2025-05-28,2.318,2.324,2.227,2.275,240566858.51
2025-05-29,2.275,2.314,2.239,2.245,243555044.95
2025-05-30,2.245,2.252,2.131,2.141,396325052.78
2025-05-31,2.141,2.208,2.081,2.175,249868908.86
2025-06-01,2.175,2.189,2.125,2.181,156424865.09
2025-06-02,2.181,2.205,2.137,2.197,189257516.45
2025-06-03,2.197,2.283,2.186,2.246,246964941.23
2025-06-04,2.246,2.267,2.197,2.202,198166141.77
2025-06-05,2.202,2.227,2.061,2.095,330713624.48
2025-06-06,2.095,2.192,2.083,2.162,220140487.8
2025-06-07,2.162,2.192,2.149,2.178,85702120.3
2025-06-08,2.178,2.296,2.168,2.268,233180578.77
2025-06-09,2.268,2.33,2.224,2.321,278722789.4
2025-06-10,2.321,2.328,2.261,2.307,241703153.6
2025-06-11,2.307,2.338,2.253,2.271,278204032.16
2025-06-12,2.271,2.274,2.172,2.191,217396452.1
2025-06-13,2.191,2.193,2.086,2.149,348814571.8
2025-06-14,2.149,2.179,2.111,2.14,165282495.69
2025-06-15,2.14,2.177,2.139,2.166,96057892.49
2025-06-16,2.166,2.338,2.152,2.239,440368508.74
2025-06-17,2.239,2.258,2.143,2.16,338825641.48
2025-06-18,2.16,2.182,2.119,2.171,223619879.6
2025-06-19,2.171,2.186,2.145,2.165,141942504.56
2025-06-20,2.165,2.18,2.086,2.12,211743833.27
2025-06-21,2.12,2.145,1.999,2.064,210241730.28
2025-06-22,2.064,2.09,1.909,2.019,442627592.04
2025-06-23,2.019,2.172,1.96,2.16,421103424.63
2025-06-24,2.16,2.217,2.133,2.191,300177889.24
2025-06-25,2.191,2.232,2.171,2.187,238800908.88
2025-06-26,2.187,2.214,2.174,2.176,68834261.11
