date,open,high,low,close,volume
2025-05-11,0.2534,0.2572,0.2355,0.2395,6521454.99
2025-05-12,0.2395,0.2594,0.2297,0.2422,14119829.9
2025-05-13,0.2422,0.2512,0.2252,0.2473,10872941.26
2025-05-14,0.2473,0.2509,0.2347,0.237,7538093.59
2025-05-15,0.237,0.2397,0.22,0.2257,7960392.16
2025-05-16,0.2257,0.2312,0.2203,0.2231,4498999.27
2025-05-17,0.2231,0.2238,0.2115,0.216,4384949.98
2025-05-18,0.216,0.2317,0.212,0.2274,6013984.07
2025-05-19,0.2274,0.229,0.2103,0.2223,4097164.45
2025-05-20,0.2223,0.2275,0.2163,0.2245,2752866.97
2025-05-21,0.2245,0.2332,0.2212,0.2307,3970407.87
2025-05-22,0.2307,0.2429,0.23,0.2413,5347274.66
2025-05-23,0.2413,0.2479,0.2229,0.2239,5690896.34
2025-05-24,0.2239,0.2293,0.2194,0.221,2561765.27
2025-05-25,0.221,0.2256,0.2115,0.2218,3342202.96
2025-05-26,0.2218,0.2289,0.2155,0.2191,4221867.64
2025-05-27,0.2191,0.2268,0.2139,0.222,2626087.57
2025-05-28,0.222,0.2255,0.2124,0.2175,4217002.24
2025-05-29,0.2175,0.2236,0.2092,0.2095,4078443.85
2025-05-30,0.2095,0.2136,0.1909,0.1924,13112485.33
2025-05-31,0.1924,0.1974,0.1859,0.1939,4346148.54
2025-06-01,0.1939,0.1982,0.1889,0.1955,3371203.45
2025-06-02,0.1955,0.1994,0.1902,0.1989,2958380.03
2025-06-03,0.1989,0.203,0.1958,0.1974,2926509.74
2025-06-04,0.1974,0.2011,0.1894,0.1916,2310899.99
2025-06-05,0.1916,0.194,0.1772,0.1811,5740891.65
2025-06-06,0.1811,0.2014,0.1803,0.1874,5110358.68
2025-06-07,0.1874,0.194,0.1866,0.1911,1462021.91
2025-06-08,0.1911,0.1935,0.1843,0.1906,3611234.06
2025-06-09,0.1906,0.2,0.1877,0.1995,3299113.67
2025-06-10,0.1995,0.2081,0.1973,0.2081,3239806.89
2025-06-11,0.2081,0.2091,0.1952,0.1972,4047231.37
2025-06-12,0.1972,0.1977,0.179,0.1807,7289857.47
2025-06-13,0.1807,0.1816,0.1686,0.1809,14716167.56
2025-06-14,0.1809,0.1812,0.1739,0.1772,2157673.92
2025-06-15,0.1772,0.1794,0.1713,0.1765,2858395.2
2025-06-16,0.1765,0.1864,0.1741,0.1761,3764882.49
2025-06-17,0.1761,0.1792,0.1659,0.1696,5226785.02
2025-06-18,0.1696,0.1725,0.1654,0.1707,4391706.94
2025-06-19,0.1707,0.1727,0.1674,0.1692,2709179.54
2025-06-20,0.1692,0.1722,0.1614,0.1673,7915294.19
2025-06-21,0.1673,0.1693,0.1574,0.1626,6079587.37
2025-06-22,0.1626,0.1648,0.1521,0.1601,11854636.22
2025-06-23,0.1601,0.1801,0.1581,0.1794,6331460.09
2025-06-24,0.1794,0.1915,0.1773,0.1828,6304834.9
2025-06-25,0.1828,0.185,0.1751,0.1757,3957486.14
2025-06-26,0.1757,0.1803,0.1694,0.1721,5823265.6
2025-06-27,0.1721,0.1763,0.1672,0.1747,4219422.09
2025-06-28,0.1747,0.1774,0.1732,0.1765,1469396.96
2025-06-29,0.1765,0.1875,0.1755,0.186,2616694.09
2025-06-30,0.186,0.1871,0.1767,0.1856,5662989.89
2025-07-01,0.1856,0.1922,0.1696,0.1711,13054882.51
2025-07-02,0.1711,0.1842,0.1707,0.1811,4156497.04
2025-07-03,0.1811,0.1888,0.1811,0.1823,3291376.27
2025-07-04,0.1823,0.1834,0.1718,0.1736,2734505.4
2025-07-05,0.1736,0.1764,0.1723,0.1746,1176937.21
2025-07-06,0.1746,0.1793,0.1736,0.177,1350989.59
2025-07-07,0.177,0.1792,0.1731,0.176,2265882.51
2025-07-08,0.176,0.181,0.173,0.1792,2298876.26
2025-07-09,0.1792,0.1938,0.1785,0.1924,5158892.25
2025-07-10,0.1924,0.2142,0.1903,0.2122,9287728.55
2025-07-11,0.2122,0.2366,0.2105,0.2183,15616230.33
2025-07-12,0.2183,0.2277,0.2126,0.219,6609610.75
2025-07-13,0.219,0.2701,0.2174,0.2638,42642806.85
2025-07-14,0.2638,0.31,0.2627,0.2795,73576217.4
2025-07-15,0.2795,0.2963,0.2691,0.2838,33546962.12
2025-07-16,0.2838,0.2965,0.2741,0.2848,28148050.02
2025-07-17,0.2848,0.3296,0.2772,0.3186,68046419.6
2025-07-18,0.3186,0.3361,0.2884,0.2939,44419208.66
2025-07-19,0.2939,0.2969,0.2821,0.2914,11761394.6
