date,open,high,low,close,volume
2025-05-11,6.07,6.279,5.79,5.888,5826504.87
2025-05-12,5.888,6.159,5.609,5.85,7091464.05
2025-05-13,5.85,6.249,5.512,6.132,7994319.99
2025-05-14,6.132,6.18,5.691,5.74,4627605.26
2025-05-15,5.74,5.821,5.194,5.31,4601606.47
2025-05-16,5.31,5.448,5.223,5.261,3834586.08
2025-05-17,5.261,5.277,5.022,5.08,2688940.44
2025-05-18,5.08,5.326,4.894,5.193,3307344.06
2025-05-19,5.193,5.222,4.839,5.21,3418296.39
2025-05-20,5.21,5.298,4.998,5.149,2498726.62
2025-05-21,5.149,5.389,5.083,5.272,2999443.89
2025-05-22,5.272,5.78,5.271,5.717,5277217.93
2025-05-23,5.717,5.998,5.321,5.342,6611617.87
2025-05-24,5.342,5.447,5.29,5.319,1892422.1
2025-05-25,5.319,5.339,5.01,5.269,2333151.73
2025-05-26,5.269,5.487,5.241,5.289,2407671.69
2025-05-27,5.289,5.52,5.193,5.371,2177082.55
2025-05-28,5.371,5.487,5.231,5.389,2671155.74
2025-05-29,5.389,5.579,5.142,5.159,2316046.79
2025-05-30,5.159,5.186,4.692,4.74,4417472.12
2025-05-31,4.74,4.819,4.53,4.73,3253905.5
2025-06-01,4.73,4.83,4.641,4.81,1548603.24
2025-06-02,4.81,4.909,4.661,4.89,1239645.93
2025-06-03,4.89,5.04,4.864,4.931,1228935.39
2025-06-04,4.931,5.015,4.752,4.79,1623830.39
2025-06-05,4.79,4.869,4.442,4.491,2815545.74
2025-06-06,4.491,4.727,4.466,4.619,1088054.39
2025-06-07,4.619,4.77,4.611,4.75,616746.42
2025-06-08,4.75,4.78,4.6,4.711,943542.23
2025-06-09,4.711,4.969,4.644,4.959,752457.17
2025-06-10,4.959,5.139,4.881,5.139,1319825.17
2025-06-11,5.139,5.248,4.946,5.021,2439665.35
2025-06-12,5.021,5.07,4.681,4.702,1033858.57
2025-06-13,4.702,4.702,4.345,4.499,3796916.43
2025-06-14,4.499,4.55,4.32,4.461,1590820.82
2025-06-15,4.461,4.551,4.44,4.539,883239.35
2025-06-16,4.539,4.912,4.5,4.681,6023443.68
2025-06-17,4.681,4.759,4.39,4.449,1637944.53
2025-06-18,4.449,4.53,4.279,4.46,1181219.49
2025-06-19,4.46,4.509,4.273,4.39,2910621.5
2025-06-20,4.39,4.48,4.18,4.279,2143838.66
2025-06-21,4.279,4.69,4.064,4.169,3278220
2025-06-22,4.169,4.221,3.751,3.929,3108261.56
2025-06-23,3.929,4.351,3.873,4.32,2886434.23
2025-06-24,4.32,5.138,4.258,4.959,13727794.58
2025-06-25,4.959,5.09,4.631,4.89,16903327.67
2025-06-26,4.89,5.031,4.65,4.881,4585798.26
2025-06-27,4.881,5.307,4.805,4.84,8840724.9
2025-06-28,4.84,4.958,4.731,4.85,3499960
2025-06-29,4.85,5.01,4.711,4.96,3202296.67
2025-06-30,4.96,4.96,4.77,4.89,2350061.28
2025-07-01,4.89,4.95,4.49,4.491,2366427.73
2025-07-02,4.491,4.857,4.421,4.74,2820302.13
2025-07-03,4.74,4.851,4.669,4.74,2428580.66
2025-07-04,4.74,4.768,4.321,4.408,3021034.29
2025-07-05,4.408,4.458,4.357,4.428,580223.48
2025-07-06,4.428,4.533,4.378,4.47,1294200.55
2025-07-07,4.47,4.508,4.402,4.45,972157.8
2025-07-08,4.45,4.48,4.36,4.471,1576247.5
2025-07-09,4.471,4.686,4.407,4.641,2485644.2
2025-07-10,4.641,4.907,4.564,4.882,3157908.9
2025-07-11,4.882,5.095,4.776,4.889,5920171.03
2025-07-12,4.889,4.947,4.667,4.802,2388100.69
2025-07-13,4.802,5.058,4.79,4.932,3724150.87
2025-07-14,4.932,5.21,4.9,4.979,5580493.8
2025-07-15,4.979,5.117,4.782,5.097,2740577.44
2025-07-16,5.097,5.379,5.041,5.208,4978446.09
2025-07-17,5.208,5.368,5.06,5.293,5335955.56
2025-07-18,5.293,5.58,5.206,5.321,6465990.65
2025-07-19,5.321,5.437,5.161,5.321,2409715.71
2025-07-20,5.321,5.511,5.211,5.313,4330736.57
2025-07-21,5.313,5.55,5.225,5.412,8004035.24
2025-07-22,5.412,5.485,5.162,5.478,6148984.83
2025-07-23,5.478,5.658,4.7,4.819,7924986.11
2025-07-24,4.819,4.867,4.453,4.63,4993351.54
2025-07-25,4.63,4.768,4.519,4.759,3208165.32
2025-07-26,4.759,4.859,4.73,4.802,1383835.82
2025-07-27,4.802,4.927,4.761,4.901,1970808.45
2025-07-28,4.901,4.986,4.619,4.65,3007831.8
2025-07-29,4.65,4.778,4.452,4.581,2686721.32
2025-07-30,4.581,4.59,4.269,4.49,2615812.66
2025-07-31,4.49,4.626,4.304,4.32,2419321.31
2025-08-01,4.32,4.38,4.117,4.234,2853742.06
2025-08-02,4.234,4.288,4.052,4.121,2221216.33
2025-08-03,4.121,4.249,4.062,4.222,1227918.3
2025-08-04,4.222,4.369,4.221,4.36,1477588.98
2025-08-05,4.367,4.376,4.354,4.375,655046.19
2025-08-06,4.29,4.291,4.215,4.241,3740494.32
2025-08-07,4.242,4.429,4.22,4.427,1219937.39
2025-08-08,4.417,4.559,4.353,4.51,51764373.12
