date,open,high,low,close,volume
2025-05-11,430.9,431.9,402.53,408.32,10294653.29
2025-05-12,408.32,419.65,396.36,410.67,14999551.06
2025-05-13,410.67,415.79,391.8,411.23,11926710.89
2025-05-14,411.23,413.84,398.96,402.78,6968705.6
2025-05-15,402.78,405.07,383.21,395.94,8449322.91
2025-05-16,395.94,403.9,393.12,395.91,4170038.43
2025-05-17,395.91,401.68,386.42,392.29,2982997.25
2025-05-18,392.29,408.04,389.54,406.49,8058454.73
2025-05-19,406.49,408.8,376.04,393,9253425.08
2025-05-20,393,398.6,384.24,394.25,5883615.09
2025-05-21,394.25,412.24,390.53,407.28,9953032.78
2025-05-22,407.28,445.86,407.28,444.2,30182763.98
2025-05-23,444.2,461.35,424.17,426.48,24669827.75
2025-05-24,426.48,432.39,419.41,421.59,7028051.13
2025-05-25,421.59,427.32,407.76,422.87,7429401.19
2025-05-26,422.87,428.51,413.12,415.58,5927008.69
2025-05-27,415.58,424.46,408.57,414.96,6460120.23
2025-05-28,414.96,427.22,404.81,424.71,8124523.33
2025-05-29,424.71,427.93,405.56,409.59,7423793.47
2025-05-30,409.59,414.37,394.69,398.72,7245343.81
2025-05-31,398.72,422.86,389.89,415.35,12435534.12
2025-06-01,415.35,415.69,397.27,403.64,4714744.12
2025-06-02,403.64,407.08,397.34,403.91,3474561.99
2025-06-03,403.91,409.27,400.18,401.05,4489587.22
2025-06-04,401.05,410.79,397.26,400.62,3281515.74
2025-06-05,400.62,405.09,377.96,385.39,5195997.32
2025-06-06,385.39,399.7,380.86,396.1,3667670.65
2025-06-07,396.1,411.58,394.36,409.46,4320684.04
2025-06-08,409.46,419.62,406.59,410.97,4797915.2
2025-06-09,410.97,429.7,410.91,425.11,6275627.34
2025-06-10,425.11,443.05,418.09,437.95,11388652.92
2025-06-11,437.95,446.65,422.5,429.13,16616106.07
2025-06-12,429.13,441.75,423.71,424.87,7347356.54
2025-06-13,424.87,453.64,398.25,448.58,19229826.9
2025-06-14,448.58,449.89,421.63,430.9,6374595.78
2025-06-15,430.9,469.4,430.9,460.41,12475072.75
2025-06-16,460.41,475.99,451.76,463.45,18711175.26
2025-06-17,463.45,482.83,457.12,463.16,18040278.38
2025-06-18,463.16,480.65,456.58,459.77,13420522.09
2025-06-19,459.77,502.26,453.3,497.22,32394899.18
2025-06-20,497.22,500.44,472.9,473.83,16147067.76
2025-06-21,473.83,477.92,458.36,467.04,9921168.52
2025-06-22,467.04,470.69,437.16,455.16,21819568.55
2025-06-23,455.16,469.55,438.62,462.98,12652468.66
2025-06-24,462.98,466.98,449.38,453.89,8146853.72
2025-06-25,453.89,494.69,453.71,482.52,30688788.85
2025-06-26,482.52,506.82,481.64,489.39,18800103.37
2025-06-27,489.39,509.85,484.79,505.12,16762402.46
2025-06-28,505.12,505.24,487.56,491.58,4923407.19
2025-06-29,491.58,508.36,488.83,504.2,5294761.36
2025-06-30,504.2,522.07,488.54,505.94,11005514.16
2025-07-01,505.94,527.55,498.56,500.48,16890301.56
2025-07-02,500.48,512.32,499.18,510.96,12340941.04
2025-07-03,510.96,514.77,492.01,496.62,9144700.55
2025-07-04,496.62,496.81,469.41,484.13,11618212.26
2025-07-05,484.13,489.76,481.02,489.55,3927852.23
2025-07-06,489.55,500.16,483.07,491.63,5520460.23
2025-07-07,491.63,499.8,487.85,496.3,5314550.61
2025-07-08,496.3,507.27,494.23,501.06,8830753.42
2025-07-09,501.06,516.84,499.94,514.65,13778857.32
2025-07-10,514.65,521.06,501.72,518.39,12691290.88
2025-07-11,518.39,538.72,514.32,531.7,14569433.31
2025-07-12,531.7,535.01,502.82,506.65,9729714.71
2025-07-13,506.65,513.36,501.73,508.28,7796071.37
2025-07-14,508.28,526.78,498.44,505.02,13396804.93
2025-07-15,505.02,505.61,482.38,498,8628028.04
2025-07-16,498,508.63,491.5,499.12,8461769.19
2025-07-17,499.12,505.08,487.73,499.9,9023949.79
2025-07-18,499.9,541.44,499.9,514.73,25481213.09
2025-07-19,514.73,522.23,502.48,513.28,8781017.19
2025-07-20,513.28,553.03,509.85,548.1,23352486.32
2025-07-21,548.1,548.53,518.14,523.26,21220501.96
2025-07-22,523.26,534.56,511.87,526.82,12586521.99
2025-07-23,526.82,529.64,498.76,512.44,10760345.24
2025-07-24,512.44,528.14,491.7,512.57,28263012.09
2025-07-25,512.57,563.05,510.12,557.12,32754914.8
2025-07-26,557.12,562.99,551.81,559.01,6898215.63
2025-07-27,559.01,606.5,555.6,589.83,34421006.11
2025-07-28,589.83,605.1,569.61,572.21,24811537.65
2025-07-29,572.21,586.5,560.34,563.83,12777297.78
2025-07-30,563.83,594.47,551.65,589.75,14264090.28
2025-07-31,589.75,596.81,560.69,561.84,14120923.01
2025-08-01,561.84,574.16,527.8,535.56,19163286.94
2025-08-02,535.56,543.75,518.06,520.19,6975599.11
2025-08-03,520.19,547.84,514.55,544.48,8202397.97
2025-08-04,544.48,580.62,544.42,574.08,17922813.21
2025-08-05,574.08,575.34,571.56,573.32,116474.39
2025-08-06,551.85,553.33,547.76,551.99,1004270.3
2025-08-07,570.92,584.35,567.64,581.85,30571160.25
2025-08-08,581.85,585.45,574.18,574.48,10403336.08
