date,open,high,low,close,volume
2025-05-08,1.699e-05,2.032e-05,1.695e-05,1.991e-05,43151289.5
2025-05-09,1.991e-05,2.347e-05,1.956e-05,2.17e-05,57328160.56
2025-05-10,2.17e-05,2.405e-05,2.125e-05,2.376e-05,34921251.69
2025-05-11,2.376e-05,2.388e-05,2.122e-05,2.223e-05,25712555.2
2025-05-12,2.223e-05,2.583e-05,2.102e-05,2.275e-05,80874423.48
2025-05-13,2.275e-05,2.386e-05,2.084e-05,2.345e-05,43136204.59
2025-05-14,2.345e-05,2.538e-05,2.22e-05,2.237e-05,39277052.45
2025-05-15,2.237e-05,2.272e-05,2.038e-05,2.088e-05,25603887.23
2025-05-16,2.088e-05,2.17e-05,1.932e-05,1.954e-05,17832321.18
2025-05-17,1.954e-05,1.969e-05,1.818e-05,1.842e-05,13512849.49
2025-05-18,1.842e-05,2.095e-05,1.839e-05,2.065e-05,19802474.59
2025-05-19,2.065e-05,2.088e-05,1.861e-05,1.973e-05,14891192.89
2025-05-20,1.973e-05,2.048e-05,1.896e-05,2.001e-05,13446616.44
2025-05-21,2.001e-05,2.192e-05,1.967e-05,2.059e-05,33346588.85
2025-05-22,2.059e-05,2.306e-05,2.058e-05,2.305e-05,31739876.7
2025-05-23,2.305e-05,2.464e-05,2.084e-05,2.1e-05,61080625.93
2025-05-24,2.1e-05,2.211e-05,2.077e-05,2.124e-05,16765852.95
2025-05-25,2.124e-05,2.143e-05,1.917e-05,2.09e-05,21797976.81
2025-05-26,2.09e-05,2.176e-05,1.98e-05,2.021e-05,21342473.94
2025-05-27,2.021e-05,2.135e-05,1.953e-05,2.072e-05,19165560.83
2025-05-28,2.072e-05,2.093e-05,1.94e-05,1.998e-05,9176534.46
2025-05-29,1.998e-05,2.088e-05,1.87e-05,1.882e-05,14661163.86
2025-05-30,1.882e-05,1.893e-05,1.609e-05,1.621e-05,17962683.69
2025-05-31,1.621e-05,1.69e-05,1.543e-05,1.657e-05,13406010.62
2025-06-01,1.657e-05,1.699e-05,1.593e-05,1.688e-05,11293072.76
2025-06-02,1.688e-05,1.765e-05,1.629e-05,1.747e-05,12362697.89
2025-06-03,1.747e-05,1.811e-05,1.659e-05,1.677e-05,10919572.22
2025-06-04,1.677e-05,1.71e-05,1.565e-05,1.572e-05,9642532.81
2025-06-05,1.572e-05,1.609e-05,1.412e-05,1.456e-05,17252114.61
2025-06-06,1.456e-05,1.575e-05,1.452e-05,1.482e-05,8998120.98
2025-06-07,1.482e-05,1.586e-05,1.475e-05,1.553e-05,6491766.34
2025-06-08,1.553e-05,1.631e-05,1.508e-05,1.579e-05,5907258.33
2025-06-09,1.579e-05,1.745e-05,1.547e-05,1.744e-05,9845751.81
2025-06-10,1.744e-05,1.796e-05,1.696e-05,1.794e-05,11411665.76
2025-06-11,1.794e-05,1.828e-05,1.655e-05,1.678e-05,10614227.33
2025-06-12,1.678e-05,1.679e-05,1.526e-05,1.533e-05,7815218.19
