date,open,high,low,close,volume
2025-05-11,104814.08,104958.29,103353.87,104124.02,1144137614.49
2025-05-12,104124.02,105783.35,100723.18,102802.44,2862364942.19
2025-05-13,102802.44,105015.14,101466.16,104136.59,2105889171.38
2025-05-14,104136.59,104357.47,102615.68,103543.76,1716689620.72
2025-05-15,103543.76,104197.65,101407.14,103787.64,1837798016.09
2025-05-16,103787.64,104594.19,103138.18,103499.6,1506289579.07
2025-05-17,103499.6,103729.29,102642.39,103159.32,601366594.09
2025-05-18,103159.32,106670.63,103144.58,106488.62,1361010736.04
2025-05-19,106488.62,107117.46,102104.37,105618.19,2480463388.93
2025-05-20,105618.19,107339.72,104220.59,106875.88,2062199314.32
2025-05-21,106875.88,110778.49,106133.62,109699.86,4104199576.95
2025-05-22,109699.86,111998.96,109250.4,111722.11,2820234493.39
2025-05-23,111722.11,111810.26,106807.62,107332.91,2775108378.21
2025-05-24,107332.91,109512.56,106896.28,107779.46,972112098
2025-05-25,107779.46,109349.07,106643.02,109041.44,1080850082.19
2025-05-26,109041.44,110459.23,108718.82,109461.24,1568531304.43
2025-05-27,109461.24,110802.2,107543.83,108975.95,2520257081.13
2025-05-28,108975.95,109328.61,106799.94,107821.11,2010518282.08
2025-05-29,107821.11,108929.95,105327.79,105586.78,2610280801.53
2025-05-30,105586.78,106348.19,103650.43,104039.27,2473658024.71
2025-05-31,104039.27,104959.61,103127.75,104654.65,890138427.14
2025-06-01,104654.65,105924.77,103823.88,105702.19,788781340.28
2025-06-02,105702.19,105988.22,103708.71,105908.79,1589665625.81
2025-06-03,105908.79,106888.12,104926.88,105447.66,1652394373.05
2025-06-04,105447.66,106044.55,104206.69,104746,1327155925.5
2025-06-05,104746,105975.11,100418.61,101580.61,2835254363.62
2025-06-06,101580.61,105426.24,101174.97,104392.54,2391698461.05
2025-06-07,104392.54,105974.42,103976.29,105625.23,903776492.08
2025-06-08,105625.23,106537.25,105042.03,105779.28,621667329.31
2025-06-09,105779.28,110543.89,105372.62,110302.12,1927020528.87
2025-06-10,110302.12,110403.6,108373.44,110296.2,1712252251.27
2025-06-11,110296.2,110425.64,108096.82,108676.78,1585492756.74
2025-06-12,108676.78,108843.81,105721.73,105726.04,1937273976.29
2025-06-13,105726.04,106224.76,102773.14,106121.08,2853509529.91
2025-06-14,106121.08,106260.08,104386.29,105481.13,792948934.46
2025-06-15,105481.13,106189.63,104546.11,105625.23,693686973.05
2025-06-16,105625.23,109014.33,105016.81,106855.39,1846109491.24
2025-06-17,106855.39,107795.31,103378.64,104598.68,2383744168.87
2025-06-18,104598.68,105579.84,103547.15,104927.87,1945024806.28
2025-06-19,104927.87,105264.38,103951.44,104699.72,1036540458.21
2025-06-20,104699.72,106559.45,102367.77,103313.31,1845670588.12
2025-06-21,103313.31,104021.01,100925.53,102165.68,1151399558.13
2025-06-22,102165.68,103430.09,98264.46,101015.42,3086806069.73
2025-06-23,101015.42,106134.09,99685.07,105423.73,3606601777.41
2025-06-24,105423.73,106358.78,104710.65,106133.25,2099787246.67
2025-06-25,106133.25,108196.78,105880.48,107399.88,2128340951.52
2025-06-26,107399.88,108330.6,106605.5,107012.17,1575810932.89
2025-06-27,107012.17,107793.99,106421.82,107105.16,1799885723.45
2025-06-28,107105.16,107591.48,106884.15,107346.44,372614444.73
2025-06-29,107346.44,108538.36,107233.58,108391.87,657403121.35
2025-06-30,108391.87,108815.66,106756.38,107169.82,1530756559.33
2025-07-01,107169.82,107574.08,105295.02,105724.18,1673173144.76
2025-07-02,105724.18,109818.47,105143.1,108886.62,2124516059.08
2025-07-03,108886.62,110584.4,108579.56,109638.97,1825182141.8
2025-07-04,109638.97,109810.02,107283.92,108027.71,1130647600.78
2025-07-05,108027.71,108444.73,107798.16,108244.51,374668091.72
2025-07-06,108244.51,109728.96,107846.02,109233.93,614763572.9
2025-07-07,109233.93,109737.83,107513.97,108277.16,1447160434.07
2025-07-08,108277.16,109248.31,107445.04,108955.05,1316408874.89
2025-07-09,108955.05,112077.21,108341.92,111291.7,2177951432.55
2025-07-10,111291.7,116848.31,110555.52,116023.34,3616719327.76
2025-07-11,116023.34,118890.32,115236.69,117573.92,3060911543.15
2025-07-12,117573.92,118239.99,116954.09,117468.16,869899617.34
2025-07-13,117468.16,119503.56,117264.6,119127.66,1133368267.75
2025-07-14,119127.66,123220.28,118951.55,119869.01,3784774921.45
2025-07-15,119869.01,119958.94,115709.64,117777.9,5881848280.87
2025-07-16,117777.9,120122.22,117043.92,118700.37,3310853209.79
2025-07-17,118700.37,121020.95,117485.98,119282.74,3000532789.4
2025-07-18,119282.74,120911.16,116902.92,118025.92,3096339405.33
2025-07-19,118025.92,118572.53,117339.41,117913.27,791893576.81
2025-07-20,117913.27,118903.91,116533.22,117328.61,1081488186.29
2025-07-21,117328.61,119712.2,116581.7,117441.75,2187836280.67
2025-07-22,117441.75,120298.65,116186.23,120023.5,2607540535.18
2025-07-23,120023.5,120167.5,117361.89,118808.78,2029832616.05
2025-07-24,118808.78,119555.88,117214.42,118397.33,2128340080.84
2025-07-25,118397.33,118523.27,114756.37,117644.11,5546818211.88
2025-07-26,117644.11,118355.11,117143.68,117971.27,1291296798.52
2025-07-27,117971.27,119808.28,117872.15,119468.71,1228024808.19
2025-07-28,119468.71,119835.44,117403.28,118059.92,2142740462.44
2025-07-29,118059.92,119285.96,116933.73,117942.11,2073820445.19
2025-07-30,117942.11,118800.1,115769.47,117853.3,2153325010.48
2025-07-31,117853.3,118927.15,115493.77,115765.36,1991848800.07
2025-08-01,115765.36,116060.68,112682.82,113263.48,3851719228.71
2025-08-02,113263.48,114033.98,112006.36,112546.32,1407609649
2025-08-03,112546.32,114803.51,111925.95,114238.83,947196437.08
2025-08-04,114238.83,115744.56,114140.41,115065.9,1662390456.96
2025-08-05,115065.9,115109.18,114865.06,114964.68,33111644.6
2025-08-06,114127.63,114138.42,113585.15,113676.75,113266766.9
2025-08-07,115038.45,117690.87,114288.63,117522.28,1904030478.64
2025-08-08,117522.28,117698.38,116652.37,116705.96,430149719.22
