date,open,high,low,close,volume
2025-05-09,22.04,23.45,20.52,22.33,90306.15
2025-05-10,22.33,24.91,22.23,22.41,98464.48
2025-05-11,22.41,22.65,21.75,21.96,36721.66
2025-05-12,21.96,22.38,20.96,21.88,45180.25
2025-05-13,21.88,24.01,21.46,21.9,62826.01
2025-05-14,21.88,22.25,21.56,21.7,47528.2
2025-05-15,21.79,22.11,21.01,21.72,80135.02
2025-05-16,21.72,21.76,20.81,21.75,87050.27
2025-05-17,21.75,21.7,21.17,21.61,428049.23
2025-05-18,21.61,23.02,21.02,21.81,700601.17
2025-05-19,21.79,22.12,21.35,21.57,46515.56
2025-05-20,21.57,21.87,21.39,21.52,29728.98
2025-05-21,21.52,22.29,21.63,21.86,746850.89
2025-05-22,21.86,22.39,21.7,21.9,213548.47
2025-05-23,21.9,21.38,20.96,21.34,1819551.66
2025-05-24,21.34,21.56,21.08,21.35,193515.15
2025-05-25,21.35,21.67,21.19,21.19,1046968.34
2025-05-26,21.22,21.42,20.99,21.11,620230.55
2025-05-27,21.11,22.32,20.43,20.75,1115139.75
2025-05-28,20.72,20.69,20.36,20.48,332403.46
2025-05-29,20.48,20.19,19.74,20,434609.49
2025-05-30,20,19.88,19.17,19.41,908325.81
2025-05-31,19.41,19.55,19.17,19.32,139941.68
2025-06-01,19.32,19.97,19.25,19.29,150435.24
2025-06-02,19.29,19.59,19.22,19.24,325746.5
2025-06-03,19.24,19.81,19.1,19.24,159728
2025-06-04,19.24,19.33,19.07,19.15,117068.62
2025-06-05,19.15,19.09,17.88,18.45,400269.75
2025-06-06,18.45,19.06,18.35,18.46,194224.35
2025-06-07,18.46,19.03,18.21,18.37,169245.03
2025-06-08,18.37,18.46,18.22,18.22,142728.42
2025-06-09,18.22,19.05,18.34,18.43,255019.31
2025-06-10,18.43,18.71,18.31,18.44,145114.7
2025-06-11,18.44,18.44,18.12,18.24,80813.77
2025-06-12,18.24,17.84,16.56,17.39,291657.86
2025-06-13,17.39,17.81,16.92,17.01,537102.22
2025-06-14,17.01,17.55,16.79,16.87,123465.32
2025-06-15,16.87,17.02,16.68,16.74,131198.55
2025-06-16,16.74,16.96,16.17,16.39,100344.56
2025-06-17,16.39,16.12,14.69,15.54,115355.07
2025-06-18,15.54,16.15,15.15,15.47,98326.82
2025-06-19,15.47,15.86,15.1,15.63,104232.75
2025-06-20,15.63,17.25,15.4,16.8,148203.39
2025-06-21,16.79,16.93,15.69,16.29,67787.15
2025-06-22,16.29,16.47,15.55,15.89,66545.29
2025-06-23,15.89,17.78,16.5,16.68,57091.06
2025-06-24,16.7,16.84,16.33,16.37,44187.19
2025-06-25,16.37,16.68,15.97,16.15,61090.75
2025-06-26,16.15,16.38,15.88,15.96,51269.7
2025-06-27,15.96,15.98,15.48,15.76,64144.97
2025-06-28,15.76,15.8,15.38,15.65,45530.65
2025-06-29,15.65,16.03,15.33,15.78,56006.65
2025-06-30,15.78,15.6,15.16,15.38,51488.15
2025-07-01,15.38,15.51,15.15,15.38,51221.11
2025-07-02,15.38,16.18,15.49,15.88,55967.45
2025-07-03,15.88,16.01,15.68,15.8,48123.21
2025-07-04,15.8,15.78,15.31,15.46,51532.88
2025-07-05,15.46,15.5,15.06,15.25,61618.35
2025-07-06,15.25,15.53,15.22,15.26,61207.02
2025-07-07,15.26,15.58,15.09,15.56,66696.89
2025-07-08,15.56,15.83,15.45,15.65,62901.24
2025-07-09,15.65,16.65,15.8,16.09,305270.22
2025-07-10,16.09,16.88,16.07,16.35,85979.85
2025-07-11,16.35,16.68,16.12,16.27,103758.58
2025-07-12,16.27,16.39,15.86,16.03,73498.34
2025-07-13,16.03,16.42,15.61,15.74,80929.46
2025-07-14,15.74,15.97,15.03,15.77,81649.85
2025-07-15,15.81,16.78,15.64,15.71,703949.37
2025-07-16,15.71,17.14,15.62,15.85,835840.32
2025-07-17,15.82,16.4,15.77,15.98,77597.62
2025-07-18,15.98,17.34,15.65,16.78,125402.7
2025-07-19,16.78,17.37,16.64,17.06,83263.66
2025-07-20,17.06,17.97,16.97,17.56,129507.43
2025-07-21,17.56,18.1,17.38,17.82,302054.38
2025-07-22,17.82,18,17.33,17.64,581506.63
2025-07-23,17.64,18.28,17.43,17.58,415520.05
2025-07-24,17.58,17.72,17,17.65,266207.34
2025-07-25,17.61,18.13,17.43,17.6,1323149.03
2025-07-26,17.6,17.94,17.49,17.78,202159.06
2025-07-27,17.78,18.48,17.95,18.31,829956.04
2025-07-28,18.29,18.26,17.9,17.96,101347.03
2025-07-29,17.96,18.16,17.5,17.59,74457.36
2025-07-30,17.59,17.71,17.12,17.44,67272.46
2025-07-31,17.44,17.25,16.83,17.06,64916.55
2025-08-01,17.06,16.91,16.46,16.73,67006.23
2025-08-02,16.73,16.75,16.48,16.66,70361.06
2025-08-03,16.66,17.31,16.82,17.02,72158.08
2025-08-04,17.02,17.26,16.9,16.94,64265.02
2025-08-05,16.99,17.07,16.9,16.94,244748.79
2025-08-06,16.42,16.44,16.31,16.34,160518.46
