date,open,high,low,close,volume
2025-05-11,4.123,4.273,3.895,4.018,148454405.5
2025-05-12,4.018,4.296,3.81,3.964,220469045.02
2025-05-13,3.964,4.115,3.815,4.065,118573445.66
2025-05-14,4.065,4.082,3.856,3.916,77349147.38
2025-05-15,3.916,3.96,3.646,3.848,133540857.3
2025-05-16,3.848,3.952,3.74,3.781,71746407.75
2025-05-17,3.781,3.863,3.674,3.804,58909343.49
2025-05-18,3.804,4.007,3.695,3.945,103261350.86
2025-05-19,3.945,3.975,3.586,3.839,104352994.22
2025-05-20,3.839,3.942,3.781,3.855,99144123.88
2025-05-21,3.855,4.07,3.799,3.932,130956488.88
2025-05-22,3.932,4.202,3.666,3.89,327404764.2
2025-05-23,3.89,3.957,3.534,3.582,200494413.97
2025-05-24,3.582,3.695,3.569,3.626,38267914.1
2025-05-25,3.626,3.667,3.44,3.602,65706400.28
2025-05-26,3.602,3.664,3.455,3.491,59481036.45
2025-05-27,3.491,3.735,3.406,3.675,95809410.43
2025-05-28,3.675,3.746,3.515,3.607,64983994.26
2025-05-29,3.607,3.728,3.512,3.525,71259280.16
2025-05-30,3.525,3.551,3.172,3.189,91439248.89
2025-05-31,3.189,3.315,3.055,3.248,74530122.42
2025-06-01,3.248,3.367,3.187,3.345,46247725.77
2025-06-02,3.345,3.372,3.223,3.332,47282682.92
2025-06-03,3.332,3.394,3.22,3.253,46124201.29
2025-06-04,3.253,3.294,3.158,3.164,40244769.33
2025-06-05,3.164,3.23,2.882,2.923,83771314.09
2025-06-06,2.923,3.223,2.918,3.196,57885411.74
2025-06-07,3.196,3.314,3.174,3.245,39093486.9
2025-06-08,3.245,3.284,3.183,3.225,28990655.11
2025-06-09,3.225,3.469,3.185,3.449,59478173.58
2025-06-10,3.449,3.558,3.367,3.493,67205804.49
2025-06-11,3.493,3.528,3.34,3.396,63070406.16
2025-06-12,3.396,3.4,3.186,3.209,59877676.52
2025-06-13,3.209,3.211,2.921,3.078,107735505.37
2025-06-14,3.078,3.078,2.807,2.947,67854145.81
2025-06-15,2.947,3.043,2.945,3.024,42454136.06
2025-06-16,3.024,3.159,2.973,2.996,63881500.4
2025-06-17,2.996,3.058,2.803,2.833,95065646.58
2025-06-18,2.833,2.918,2.707,2.828,72360250.04
2025-06-19,2.828,2.868,2.785,2.829,50111113.58
2025-06-20,2.829,2.887,2.65,2.717,56142596.65
2025-06-21,2.717,2.754,2.459,2.57,63761853.91
2025-06-22,2.57,2.618,2.295,2.45,118238117.56
2025-06-23,2.45,2.879,2.396,2.832,163185714.88
2025-06-24,2.832,2.914,2.736,2.799,103247011.35
2025-06-25,2.799,2.848,2.71,2.733,54272528.53
2025-06-26,2.733,2.806,2.577,2.602,87769509.87
2025-06-27,2.602,2.797,2.582,2.723,82461931.19
2025-06-28,2.723,2.845,2.681,2.803,33747710.3
2025-06-29,2.803,2.928,2.769,2.901,43429378.6
2025-06-30,2.901,2.911,2.737,2.777,58248651.15
2025-07-01,2.777,2.813,2.661,2.673,33327086.06
2025-07-02,2.673,2.963,2.649,2.9,68607620.87
2025-07-03,2.9,3.091,2.874,3.023,80768364.12
2025-07-04,3.023,3.085,2.823,2.876,56664294.49
2025-07-05,2.876,2.937,2.86,2.899,27487737.75
2025-07-06,2.899,2.968,2.868,2.91,42012055.95
2025-07-07,2.91,2.952,2.83,2.858,44355279.33
2025-07-08,2.858,2.932,2.827,2.895,45605796.69
2025-07-09,2.895,3.099,2.879,3.074,56849472.72
2025-07-10,3.074,3.5,3.061,3.49,114759233.55
2025-07-11,3.49,3.572,3.302,3.389,110503327.39
2025-07-12,3.389,3.471,3.311,3.402,55046894.15
2025-07-13,3.402,3.54,3.381,3.492,57422111.64
2025-07-14,3.492,4,3.49,3.89,198152173.67
2025-07-15,3.89,4.108,3.814,4.102,182671063.84
2025-07-16,4.102,4.103,3.925,3.947,121639423.12
2025-07-17,3.947,4.082,3.867,4.011,112721241.02
2025-07-18,4.011,4.247,3.657,3.783,244692918.36
2025-07-19,3.783,3.857,3.694,3.836,62158885.68
2025-07-20,3.836,4.035,3.812,3.893,106693127.23
2025-07-21,3.893,4.097,3.839,3.962,101617098.24
2025-07-22,3.962,4.035,3.805,4.009,97191331.7
2025-07-23,4.009,4.026,3.587,3.719,101995719.81
2025-07-24,3.719,3.874,3.52,3.721,104959224.79
2025-07-25,3.721,4.003,3.591,3.95,113018330.55
2025-07-26,3.95,4.345,3.936,4.16,160951116.28
2025-07-27,4.16,4.43,4.122,4.327,158184883.69
2025-07-28,4.327,4.443,3.883,3.91,143046944.25
2025-07-29,3.91,4.008,3.751,3.812,88209184.63
2025-07-30,3.812,3.842,3.625,3.758,78953534
2025-07-31,3.758,3.96,3.591,3.614,91252510.4
2025-08-01,3.614,3.635,3.355,3.457,140267991.49
2025-08-02,3.457,3.533,3.265,3.334,65603043.61
2025-08-03,3.334,3.485,3.282,3.448,49081793.33
2025-08-04,3.448,3.636,3.409,3.591,79371997.94
2025-08-05,3.591,3.593,3.568,3.59,863104.17
2025-08-06,3.41,3.412,3.364,3.38,2809255.75
2025-08-07,3.499,3.795,3.444,3.79,85748495.45
2025-08-08,3.79,3.81,3.732,3.788,27908575.29
