date,open,high,low,close,volume
2025-05-11,2756.88,2685.75,2683.24,2683.24,5465997.81
2025-05-12,2683.24,2667.75,2662.76,2667.75,42885820.45
2025-05-13,2667.75,2864.96,2862.28,2862.28,6127031.01
2025-05-14,2862.28,2790.16,2787.55,2790.16,13588158.53
2025-05-15,2790.16,2724.88,2722.33,2722.33,2954383.58
2025-05-16,2722.33,2715.42,2710.35,2712.89,5424905.52
2025-05-17,2712.89,2647.02,2647.02,2647.02,1393494.6
2025-05-18,2647.02,2673.63,2671.13,2671.13,1495352.94
2025-05-19,2671.13,2705.67,2703.14,2705.67,2419596.11
2025-05-20,2705.67,2701.86,2699.33,2701.86,4215140.09
2025-05-21,2701.86,2730.86,2730.86,2730.86,3099203.73
2025-05-22,2730.86,2851.66,2848.99,2848.99,12113628.66
2025-05-23,2848.99,2703.78,2701.26,2701.26,5923476.45
2025-05-24,2701.26,2708.08,2705.55,2705.55,1833878.26
2025-05-25,2705.55,2730.89,2728.33,2728.33,5544520.09
2025-05-26,2728.33,2743.98,2741.42,2743.98,4338099.77
2025-05-27,2743.98,2848.34,2845.68,2848.34,5193235.91
2025-05-28,2848.34,2872.53,2869.85,2869.85,2403324.67
2025-05-29,2869.85,2818.68,2816.05,2816.05,8710119.09
2025-05-30,2816.05,2711.55,2709.02,2711.55,2626594.32
2025-05-31,2711.55,2711.43,2703.84,2708.9,7118939.54
2025-06-01,2708.9,2720.82,2718.28,2720.82,2082734.79
2025-06-02,2720.82,2794.31,2791.7,2794.31,1591417.69
2025-06-03,2794.31,2779.12,2776.52,2779.12,5805657.7
2025-06-04,2779.12,2793.47,2793.47,2793.47,1617389.97
2025-06-05,2793.47,2589.79,2582.54,2584.96,17420791.71
2025-06-06,2584.96,2654.27,2649.31,2654.27,3824803.08
2025-06-07,2654.27,2705.53,2700.48,2705.53,19083604.57
2025-06-08,2705.53,2689.05,2686.53,2689.05,6684160.1
2025-06-09,2689.05,2874.32,2871.64,2871.64,2802663.37
2025-06-10,2871.64,3018.91,3016.1,3016.1,2924648.6
2025-06-11,3016.1,2972.2,2969.42,2969.42,7107045.43
2025-06-12,2969.42,2834.91,2832.27,2834.91,6291838.08
2025-06-13,2834.91,2766.03,2763.45,2766.03,4311795.09
2025-06-14,2766.03,2715.11,2715.11,2715.11,2028701.55
2025-06-15,2715.11,2731.9,2731.9,2731.9,3237323.51
2025-06-16,2731.9,2728.49,2728.49,2728.49,5891211.76
2025-06-17,2728.49,2691.75,2691.75,2691.75,3416152.64
2025-06-18,2691.75,2707.71,2707.71,2707.71,4190210.16
2025-06-19,2707.71,2703.41,2703.41,2703.41,3162505.99
2025-06-20,2703.41,2582.95,2580.54,2580.54,5272249.34
2025-06-21,2580.54,2464.62,2462.32,2462.32,4472754.45
2025-06-22,2462.32,2391.26,2389.03,2389.03,3815921.22
2025-06-23,2389.03,2589.33,2586.92,2586.92,9798289.13
2025-06-24,2586.92,2628.52,2626.07,2628.52,10784175.92
2025-06-25,2628.52,2596.91,2594.49,2596.91,8287404.76
2025-06-26,2596.91,2593.98,2591.56,2593.98,762966.6
2025-06-27,2593.98,2601.4,2601.4,2601.4,7561627.18
2025-06-28,2601.4,2615.49,2615.49,2615.49,5773670.56
2025-06-29,2615.49,2683.85,2683.85,2683.85,680759.05
2025-06-30,2683.85,2667.88,2667.88,2667.88,14885755.44
2025-07-01,2667.88,2581.32,2581.32,2581.32,8486722.01
2025-07-02,2581.32,2759.04,2759.04,2759.04,4366341.74
2025-07-03,2759.04,2781.26,2781.26,2781.26,2438468.76
2025-07-04,2781.26,2691.82,2691.82,2691.82,1016971.25
2025-07-05,2691.82,2700.84,2700.84,2700.84,712156.85
2025-07-06,2700.84,2761.4,2758.83,2758.83,1360904.84
2025-07-07,2758.83,2730.65,2728.1,2730.65,1293970.75
2025-07-08,2730.65,2809.9,2809.9,2809.9,1184736.22
2025-07-09,2809.9,2974.97,2969.43,2972.2,3194638.66
2025-07-10,2972.2,3169.71,3163.8,3166.76,4502429.82
2025-07-11,3166.76,3175.04,3169.12,3172.08,11281344.49
2025-07-12,3172.08,3162.15,3156.26,3159.2,14296398.68
2025-07-13,3159.2,3193.01,3190.04,3193.01,3537283.37
2025-07-14,3193.01,3237.74,3231.72,3234.73,20251125.33
2025-07-15,3234.73,3371.64,3368.5,3371.64,14158091.3
2025-07-16,3371.64,3622.71,3612.59,3615.96,14474266.77
2025-07-17,3615.96,3733.48,3726.52,3733.48,13943360.71
2025-07-18,3733.48,3812.23,3801.58,3805.13,18229152.14
2025-07-19,3805.13,3856.73,3853.13,3856.73,3267881.77
2025-07-20,3856.73,4036.78,4033.02,4033.02,12996167.29
2025-07-21,4033.02,4039.05,4039.05,4039.05,6254712.79
2025-07-22,4039.05,4026.04,4018.54,4022.29,29701761.14
2025-07-23,4022.29,3898.85,3895.22,3895.22,8688901.03
2025-07-24,3895.22,3983.21,3979.5,3979.5,10719896.11
2025-07-25,3979.5,4005.46,3998.01,4001.73,16746979.77
2025-07-26,4001.73,4019.76,4019.76,4019.76,4139183.42
2025-07-27,4019.76,4160.8,4160.8,4160.8,12146221.61
2025-07-28,4160.8,4080.07,4080.07,4080.07,19219262.17
2025-07-29,4080.07,4077.97,4074.18,4074.18,26237245.54
2025-07-30,4074.18,4096.06,4092.25,4096.06,3701365.24
2025-07-31,4096.06,3975.55,3971.86,3975.55,9234019.86
2025-08-01,3975.55,3748.55,3745.06,3745.06,7799423.42
2025-08-02,3745.06,3647.91,3644.51,3644.51,6196325.73
2025-08-03,3644.51,3759.92,3756.42,3759.92,6645621
2025-08-04,3759.92,4000,3996.28,3996.28,14836664.67
2025-08-05,3996.28,4000.37,3968.1,3982.19,195207.93
2025-08-06,3882.7,3885.41,3831.33,3852.61,2897.55
2025-08-07,3960.42,4205.05,4205.05,4205.05,16675611.54
2025-08-08,4205.05,4267.57,4171.48,4204.52,1922468.82
