title,source_name,url,published_at,sentiment_score
"Larian says it's going to expand the Baldur's Gate 3 mod toolkit 'to give you even more freedom,' so there goes another 100 hours I've lost to modding",PC Gamer,https://www.pcgamer.com/games/baldurs-gate/larian-says-its-going-to-expand-the-baldurs-gate-3-mod-toolkit-to-give-you-even-more-freedom-so-there-goes-another-100-hours-ive-lost-to-modding/,2025-08-05 00:54:06+00:00,0.0
DOJ Opens Probe of Alleged ‘Russiagate’ Conspiracy Against Trump,Biztoc.com,https://biztoc.com/x/054065ffe2fdd798,2025-08-05 00:00:25+00:00,-0.7034748196601868
77-Mile 2020 Ford GT Carbon Series,Bringatrailer.com,https://bringatrailer.com/listing/2020-ford-gt-24/,2025-08-05 00:00:09+00:00,0.0
"4,700-Mile 2007 Ferrari 599 GTB Fiorano",Bringatrailer.com,https://bringatrailer.com/listing/2007-ferrari-599-gtb-fiorano-74/,2025-08-04 23:43:18+00:00,0.0
"Australia Selects Japanese Frigate Plan, Boosting Strategic Ties",Biztoc.com,https://biztoc.com/x/86e258270218a72d,2025-08-04 23:37:36+00:00,0.0
"Larian celebrated a 'probably this time really maybe' defeat of Baldur's Gate 3's Zoom grandpa portrait glitch too soon, with the beloved bug already rising from the dead like a slasher villain",PC Gamer,https://www.pcgamer.com/games/baldurs-gate/larian-celebrated-a-probably-this-time-really-maybe-defeat-of-baldurs-gate-3s-zoom-grandpa-portrait-glitch-too-soon-with-the-beloved-bug-already-rising-from-the-dead-like-a-slasher-villain/,2025-08-04 23:13:57+00:00,-0.4022677540779114
Nike Gt Jump Academy Smoke Grey / Dark Smoke Grey,KicksOnFire.com,https://www.kicksonfire.com/nike-gt-jump-academy-smoke-grey-dark-smoke-grey,2025-08-04 22:32:49+00:00,0.0
Nike Gt Jump Academy College Navy / White,KicksOnFire.com,https://www.kicksonfire.com/nike-gt-jump-academy-college-navy-white,2025-08-04 22:23:54+00:00,0.0
Nike Gt Jump Academy Wolf Grey / White,KicksOnFire.com,https://www.kicksonfire.com/nike-gt-jump-academy-wolf-grey-white,2025-08-04 22:23:32+00:00,0.0
1971 Ford Torino GT Convertible 429 Cobra Jet 4-Speed,Bringatrailer.com,https://bringatrailer.com/listing/1971-ford-torino-18/,2025-08-04 22:19:29+00:00,0.0
German finance minister to push for steel quotas on Washington trip,Biztoc.com,https://biztoc.com/x/16cbc947cf5ecdd3,2025-08-04 06:39:32+00:00,0.4704739451408386
